ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,MagX,MagY,MagZ
-0.10961966961622238,-0.2165452390909195,9.748156547546387,-0.005105194505303233,-0.003676059820805624,0.04903557424557087,0.0,2019-06-21 12:41:52:488,0.0,0.0,0.0
-0.2652783989906311,-0.19978199899196625,9.764920234680176,-0.002974145484589436,-0.0030101070018325625,0.04730409509572064,0.005890846252441406,2019-06-21 12:41:52:494,0.0,0.0,0.0
-0.1742779016494751,-0.23330849409103394,9.72420883178711,0.0027530490186532175,-0.011134731653378239,0.043974332301226944,0.01000070571899414,2019-06-21 12:41:52:498,0.0,0.0,0.0
-0.28204163908958435,-0.23330849409103394,9.760130882263184,0.0010215716893232575,-0.007139014739539869,0.04996790949250478,0.01588916778564453,2019-06-21 12:41:52:504,0.0,0.0,0.0
-0.1407514065504074,-0.1111762523651123,9.841551780700684,0.0015543339445017069,-0.002210963619064889,0.04011180413066291,0.019998550415039062,2019-06-21 12:41:52:508,0.0,0.0,0.0
-0.23654140532016754,-0.0656760111451149,9.822394371032715,-0.0031073360483840485,-0.001944582361438502,0.033452276461080954,0.02588653564453125,2019-06-21 12:41:52:514,0.0,0.0,0.0
-0.1215934157371521,-0.1111762523651123,9.793657302856445,0.0006219999979394207,-0.005940299405314034,0.04117733072161441,0.029997825622558594,2019-06-21 12:41:52:518,0.0,0.0,0.0
-0.40656861662864685,-0.1183605045080185,9.743367195129395,-0.0019086208441953755,-0.005407537150135584,0.04117733072161441,0.03589439392089844,2019-06-21 12:41:52:524,0.0,0.0,0.0
-0.22456765174865723,-0.09680775552988052,9.709840774536133,0.0014211433807070943,-0.011800684212276974,0.04077775668956165,0.040032386779785156,2019-06-21 12:41:52:528,0.0,0.0,0.0
-0.358673632144928,-0.11596575379371643,9.731393814086914,-0.0015090491528115383,-0.0040756315121894615,0.03558332756238935,0.04519176483154297,2019-06-21 12:41:52:533,0.0,0.0,0.0
-0.08088266849517822,-0.1111762523651123,9.784077644348145,0.0008883811255286454,-0.00514115602254636,0.028257845253314047,0.05021190643310547,2019-06-21 12:41:52:538,0.0,0.0,0.0
-0.36825263500213623,-0.01059676706790924,9.901420593261719,-0.002308192665616375,-0.0008790577860630224,0.03132122744036715,0.0551605224609375,2019-06-21 12:41:52:543,0.0,0.0,0.0
-0.11201442033052444,-0.12315000593662262,9.743367195129395,-0.001642239716606151,0.0008524196733041,0.022530650750071393,0.0601649284362793,2019-06-21 12:41:52:548,0.0,0.0,0.0
-0.3395156264305115,-0.1111762523651123,9.688287734985352,0.0010215716893232575,-0.003942440948394849,0.02332979465298772,0.06515836715698242,2019-06-21 12:41:52:553,0.0,0.0,0.0
-0.1742779016494751,-0.029754765331745148,9.779288291931152,-0.006570290967118294,-0.010735159701920075,0.024128936475309445,0.07016754150390625,2019-06-21 12:41:52:558,0.0,0.0,0.0
-0.20780441164970398,-0.10399200767278671,9.599681854248047,-0.0031073360483840485,-0.0075385861708493805,0.018668124660101964,0.07516145706176758,2019-06-21 12:41:52:563,0.0,0.0,0.0
-0.1479356586933136,0.006166480481624603,9.800841331481934,-0.009100911939290253,-0.007671776994718318,0.019600457826441275,0.08017635345458984,2019-06-21 12:41:52:568,0.0,0.0,0.0
-0.10961966961622238,0.01095598004758358,9.839157104492188,-0.004039669994946335,-0.0023441541828595016,0.01587112204019213,0.08516788482666016,2019-06-21 12:41:52:573,0.0,0.0,0.0
-0.08327741920948029,-0.08004450798034668,9.77449893951416,-0.0019086208441953755,0.004048993399430539,0.01533835978501368,0.09016609191894531,2019-06-21 12:41:52:578,0.0,0.0,0.0
-0.16469891369342804,0.01095598004758358,9.728999137878418,-0.007369434349885967,-0.002610535310448726,0.015471550088733969,0.09502220153808594,2019-06-21 12:41:52:583,0.0,0.0,0.0
-0.14554090797901154,-0.04651801288127899,9.65476131439209,-0.004172860558740947,-0.014597686832186808,0.009078403026592578,0.10087871551513672,2019-06-21 12:41:52:589,0.0,0.0,0.0
