ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,MagX,MagY,MagZ
-0.014543314464390278,-0.027360014617443085,9.790364265441895,-0.002647828668311217,-0.001340962726321319,-0.006040192393178574,0.0,2019-06-24 14:10:02:549,0.0,0.0,0.0
0.016588430851697922,-0.027360014617443085,9.838258743286133,0.0001491734477046111,0.0043862320369956595,-0.0019112846554712676,0.005006313323974609,2019-06-24 14:10:02:554,0.0,0.0,0.0
-0.004964316263794899,-0.0034125184174627066,9.799942970275879,0.003079366095005761,0.00025732418550583624,-0.003109999729622778,0.010894775390625,2019-06-24 14:10:02:560,0.0,0.0,0.0
0.05011492595076561,0.01095598004758358,9.744863510131836,-0.002514638104516605,-0.0008082004061242886,-0.0009789507089089816,0.015035629272460938,2019-06-24 14:10:02:564,0.0,0.0,0.0
0.03814117982983589,0.01814022846519947,9.814311981201172,0.0008151263154416085,0.0017224205010290888,0.003416338156387549,0.020925521850585938,2019-06-24 14:10:02:570,0.0,0.0,0.0
0.03574642911553383,-0.005807267967611551,9.823890686035156,0.0020138414546117004,-0.004137964566008177,-0.0013785224002928185,0.02503061294555664,2019-06-24 14:10:02:574,0.0,0.0,0.0
-0.038490813225507736,-0.027360014617443085,9.811917304992676,-0.001715494591711769,-0.004137964566008177,0.0002197644465157556,0.029998302459716797,2019-06-24 14:10:02:579,0.0,0.0,0.0
-0.028911812230944633,-0.01059676706790924,9.79275894165039,-0.0006499700163362892,-0.00427115512980279,-0.0021776657830604924,0.03500843048095703,2019-06-24 14:10:02:584,0.0,0.0,0.0
0.0213779304176569,0.034903477877378464,9.802337646484375,-0.00025039827618851643,0.00025732418550583624,-0.0013785224002928185,0.04088926315307617,2019-06-24 14:10:02:590,0.0,0.0,0.0
-0.028911812230944633,0.034903477877378464,9.735284805297852,0.002546603839827312,0.0014560393734398642,-0.0013785224002928185,0.04500436782836914,2019-06-24 14:10:02:594,0.0,0.0,0.0
0.009404182434082031,0.027719227597117424,9.759232521057129,-0.0011827323365333196,-0.00014224753838729123,-0.0008457601451143693,0.049997806549072266,2019-06-24 14:10:02:599,0.0,0.0,0.0
0.0046146828681230545,0.02532447874546051,9.831074714660645,-0.00025039827618851643,-0.0018737249814997682,-4.661670139177563e-05,0.055939674377441406,2019-06-24 14:10:02:605,0.0,0.0,0.0
0.0213779304176569,-0.0010177686344832182,9.823890686035156,-0.004379306257715503,-0.0014741532901159315,-0.0013785224002928185,0.06000041961669922,2019-06-24 14:10:02:609,0.0,0.0,0.0
0.011798931285738945,-0.01059676706790924,9.807126998901367,0.0008151263154416085,-0.0020069155452943806,0.004215481539155223,0.06502819061279297,2019-06-24 14:10:02:614,0.0,0.0,0.0
0.018983181565999985,0.02532447874546051,9.831074714660645,0.0008151263154416085,-0.0008082004061242886,0.0010189078780473654,0.07002782821655273,2019-06-24 14:10:02:619,0.0,0.0,0.0
0.02856217883527279,0.006166480481624603,9.790364265441895,0.0012146980718440268,-0.0016073438539105438,-0.00044618842122124184,0.07500839233398438,2019-06-24 14:10:02:624,0.0,0.0,0.0
0.0213779304176569,0.015745479613542557,9.778390884399414,-0.0005167794200323863,-0.0002754381184365489,-0.0008457601451143693,0.08087444305419922,2019-06-24 14:10:02:630,0.0,0.0,0.0
0.026167429983615875,0.020534979179501534,9.807126998901367,-0.0006499700163362892,0.002255182756207538,-4.661670139177563e-05,0.0850057601928711,2019-06-24 14:10:02:634,0.0,0.0,0.0
-0.04806981235742569,0.015745479613542557,9.694574356079102,0.001347888635638639,0.0009232770532428338,-0.003909143372464777,0.09088897705078125,2019-06-24 14:10:02:640,0.0,0.0,0.0
0.018983181565999985,0.0013769810320809484,9.795153617858887,0.0012146980718440268,0.0023883733200021503,0.002084432388404264,0.09500408172607422,2019-06-24 14:10:02:644,0.0,0.0,0.0
-0.0025695664808154106,0.022929728031158447,9.840654373168945,-0.000383588856237774,-0.003205630619445891,-4.661670139177563e-05,0.1009221076965332,2019-06-24 14:10:02:650,0.0,0.0,0.0
-0.014543314464390278,-0.008202017284929752,9.886154174804688,0.0002823640277538687,-9.05695935394897e-06,-0.0023108563468551046,0.10500907897949219,2019-06-24 14:10:02:654,0.0,0.0,0.0
0.011798931285738945,-0.0034125184174627066,9.814311981201172,-0.0010495417077201262,0.0007900864894482214,-0.003775952808670165,0.1110682487487793,2019-06-24 14:10:02:660,0.0,0.0,0.0
0.040535926818847656,0.030113978311419487,9.807126998901367,-0.0006499700163362892,-0.001740534417705156,-0.0015117129640874309,0.11501502990722656,2019-06-24 14:10:02:664,0.0,0.0,0.0
0.016588430851697922,0.027719227597117424,9.749653816223145,-0.0010495417077201262,-0.0002754381184365489,0.0014184795694312021,0.12088680267333984,2019-06-24 14:10:02:670,0.0,0.0,0.0
0.030956929549574852,0.0013769810320809484,9.778390884399414,-0.0011827323365333196,-0.0005418192460257735,-0.003775952808670165,0.1250019073486328,2019-06-24 14:10:02:674,0.0,0.0,0.0
-0.009753815829753876,-0.01778101734817028,9.83346939086914,-0.00025039827618851643,0.00025732418550583624,-0.0015117129640874309,0.1300067901611328,2019-06-24 14:10:02:679,0.0,0.0,0.0
0.02856217883527279,-0.03214951604604721,9.756837844848633,-0.0014491134641225444,-0.0029392494918566666,0.0027503853374144876,0.135894775390625,2019-06-24 14:10:02:685,0.0,0.0,0.0
