ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Pitch (Deg),Roll (Deg),Heading (Deg),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-0.07042719423770905,-0.04126632586121559,9.835984230041504,-0.005545256388154957,-0.003190180644082879,0.004751440367864743,3.5917952043391663,-3.5951924029558047,0,0.0,2019-07-25 15:12:12:523
-0.1326906830072403,-0.043661076575517654,9.790483474731445,-0.00208230133938355,-0.004522086542103327,0.005284202623043192,7.105413791946166,-7.1177251474223855,0,0.0038759708404541016,2019-07-25 15:12:12:526
-0.08958519250154495,-0.04605582728981972,9.795273780822754,-0.004746113005387283,-0.0037229428992613276,0.004485059240275518,10.55347963877435,-10.56914891048434,0,0.007004976272583008,2019-07-25 15:12:12:530
-0.056058697402477264,-0.002950331661850214,9.895853042602539,-0.004746113005387283,-0.00585399218004945,0.00634972713340009,13.936891050342346,-13.956635923680844,0,0.009963274002075195,2019-07-25 15:12:12:533
-0.06563769280910492,-0.017318829894065857,9.76893138885498,-0.005545256388154957,-0.002923799516493654,0.00341953472991862,17.2510942240828,-17.274257258062725,0,0.013863563537597656,2019-07-25 15:12:12:536
-0.06563769280910492,-0.036476828157901764,9.785694122314453,-0.005811637515744182,-0.004255705154439777,0.0031531536023293957,20.49913464775697,-20.523478579037945,0,0.016995668411254883,2019-07-25 15:12:12:540
-0.14705918729305267,-0.029292577877640724,9.76893138885498,-0.004746113005387283,-0.002391037261315205,0.00634972713340009,23.672314201395817,-23.70875655134606,0,0.02005910873413086,2019-07-25 15:12:12:543
-0.09676943719387054,0.020997164770960808,9.852746963500977,-0.004479731877798059,-0.003989324026850552,0.005816964878221641,26.788467601382326,-19.63606447928017,0,0.023871660232543945,2019-07-25 15:12:12:546
-0.11113794147968292,-0.04126632586121559,9.814431190490723,-0.004213350490134509,-0.004255705154439777,0.004485059240275518,29.840471202008548,-22.837783818986995,0,0.027004718780517578,2019-07-25 15:12:12:550
-0.09676943719387054,0.04254991188645363,9.87908935546875,-0.003946969362545284,-0.006120373307638673,0.0015548667067568852,32.83346786601112,-18.78529914856277,0,0.030003070831298828,2019-07-25 15:12:12:553
-0.08479569107294083,-0.014924080111086369,9.893458366394043,-0.004746113005387283,-0.002391037261315205,0.003952296985097069,35.76749575618329,-22.00683534033933,0,0.03386521339416504,2019-07-25 15:12:12:556
-0.1063484400510788,0.018602415919303894,9.761747360229492,-0.005012494132976508,-0.004522086542103327,0.005017821495453967,38.64045670457334,-17.968001743954957,0,0.036993980407714844,2019-07-25 15:12:12:560
-0.13748018443584442,-0.0604243241250515,9.771326065063477,-0.004213350490134509,-0.0026574183889044294,0.00634972713340009,41.451979714479606,-21.200836083319878,0,0.04003548622131348,2019-07-25 15:12:12:563
-0.12790118157863617,-0.04845057427883148,9.790483474731445,-0.002348682597009937,-0.004255705154439777,0.0028867724747401705,44.20888583974605,-24.370643637096663,0,0.04386425018310547,2019-07-25 15:12:12:566
-0.13029593229293823,-0.017318829894065857,9.80964183807373,-0.005811637515744182,-0.004522086542103327,0.0031531536023293957,46.91028115219016,-27.480188931998445,0,0.04698610305786133,2019-07-25 15:12:12:570
-0.10155893862247467,-0.007739831227809191,9.881484031677246,-0.0034142071073668353,-0.0026574183889044294,0.004485059240275518,49.560748131202615,-30.52911000276301,0,0.04999899864196777,2019-07-25 15:12:12:573
-0.08240094035863876,-0.036476828157901764,9.78808879852295,-0.005278875260565733,-0.003190180644082879,0.00341953472991862,52.160583886695036,-33.513103433193635,0,0.05389213562011719,2019-07-25 15:12:12:576
-0.03211119771003723,-0.036476828157901764,9.812036514282227,-0.004479731877798059,-0.003989324026850552,0.005284202623043192,54.7143223705551,-36.437794976049744,0,0.05701851844787598,2019-07-25 15:12:12:580
-0.11592743545770645,-0.022108329460024834,9.819220542907715,-0.005545256388154957,-0.00585399218004945,0.006882489388578539,57.207483906821345,-39.30553426151678,0,0.05998849868774414,2019-07-25 15:12:12:583
-0.13508543372154236,-0.043661076575517654,9.859931945800781,-0.002881444852188386,-0.002391037261315205,0.010079062919649233,59.64815875458695,-42.1137189616231,0,0.06388473510742188,2019-07-25 15:12:12:586
-0.1063484400510788,-0.007739831227809191,9.840773582458496,-0.005012494132976508,-0.002391037261315205,0.0028867724747401705,62.0432312776935,-44.86966486577343,0,0.06700587272644043,2019-07-25 15:12:12:590
-0.09197994321584702,-0.04126632586121559,9.845562934875488,-0.004746113005387283,-0.0063867544352278986,0.005017821495453967,64.39273855725462,-47.566668272741104,0,0.07000923156738281,2019-07-25 15:12:12:593
-0.07521669566631317,0.013812916353344917,9.83837890625,-0.002348682597009937,-0.0018582748760995933,0.004485059240275518,66.69652525315131,-43.016435551671904,0,0.07386279106140137,2019-07-25 15:12:12:596
-0.08958519250154495,-0.002950331661850214,9.744983673095703,-0.006610780898511855,-0.007452278945584797,0.004751440367864743,68.95337290296467,-45.754595874319044,0,0.07699871063232422,2019-07-25 15:12:12:600
-0.07521669566631317,-0.010134580545127392,9.824010848999023,-0.005278875260565733,-0.0037229428992613276,0.006882489388578539,71.16616073946544,-48.437430323438065,0,0.08000636100769043,2019-07-25 15:12:12:603
-0.11353268474340439,0.018602415919303894,9.790483474731445,-0.006078018643333406,-0.005054848797281776,0.0042186781126862935,73.33064621244337,-43.869540696372255,0,0.08386921882629395,2019-07-25 15:12:12:606
-0.07042719423770905,-0.03887157887220383,9.843168258666992,-0.005012494132976508,-0.0015918937485103685,0.002620391347150946,75.45611610484293,-46.58673781199984,0,0.0870199203491211,2019-07-25 15:12:12:610
-0.10874319076538086,0.01620766520500183,9.761747360229492,-0.004479731877798059,-0.004788467669692552,0.005017821495453967,77.53512504303568,-42.05606749158024,0,0.09035205841064453,2019-07-25 15:12:12:613
-0.06084819510579109,-0.029292577877640724,9.670746803283691,-0.005012494132976508,-0.005587611052460225,0.006882489388578539,79.5783120725199,-44.810488838884666,0,0.0938565731048584,2019-07-25 15:12:12:616
-0.07282194495201111,-0.03887157887220383,9.776115417480469,-0.005012494132976508,-0.002124656003688818,0.005550583750632416,81.57858728780488,-47.50883286690327,0,0.09701824188232422,2019-07-25 15:12:12:620
-0.08719044178724289,-0.02689782902598381,9.845562934875488,-0.0034142071073668353,-0.0026574183889044294,0.005816964878221641,83.53749338764756,-50.15472185483506,0,0.1012108325958252,2019-07-25 15:12:12:624
-0.1063484400510788,0.00902341678738594,9.79766845703125,-0.001283157956615876,-0.004255705154439777,0.006083346005810866,85.45520512339318,-45.55241159132065,0,0.10497474670410156,2019-07-25 15:12:12:628
-0.11592743545770645,0.006628667004406452,9.83837890625,-0.005012494132976508,-0.0063867544352278986,0.0023540102195617214,87.33370950670799,-41.041263958749546,0,0.10807108879089355,2019-07-25 15:12:12:631
-0.06803244352340698,0.04494466260075569,9.783299446105957,-0.0031478259797776105,-0.005587611052460225,0.0042186781126862935,89.17977819062445,-36.625302244422095,0,0.11033844947814941,2019-07-25 15:12:12:633
-0.08479569107294083,-0.058029573410749435,9.82640552520752,-0.006610780898511855,-0.0071858978179955724,0.007948014419084088,90.98771452589413,-39.48472258414186,0,0.11385822296142578,2019-07-25 15:12:12:636
-0.07042719423770905,-0.04126632586121559,9.905431747436523,-0.004479731877798059,-0.0026574183889044294,0.005017821495453967,92.76030016595823,-42.28943293938225,0,0.11712336540222168,2019-07-25 15:12:12:640
-0.07761144638061523,-0.050845324993133545,9.76893138885498,-0.004746113005387283,-0.004522086542103327,0.005550583750632416,94.49685309936146,-45.03677460790635,0,0.12052106857299805,2019-07-25 15:12:12:643
