ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Pitch (Deg),Roll (Deg),Heading (Deg),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
7.2400493622,6.980214119,9.61926651,0.1806841948,0.1855118234,1.9055253158,-0.4643281605,92.0838051879,0,24.9660630226,2019-07-25 11:50:46:461
-3.2776916027,3.0480349064,9.6288452148,0.5714653678,0.3805028359,1.7121325495,2.6863203297,93.3666736865,0,24.9699320793,2019-07-25 11:50:46:465
-5.5167822838,-4.1912932396,14.7033205032,-0.2013063661,-0.1117695337,1.8839483846,2.7068162824,93.4035886277,0,24.9731326103,2019-07-25 11:50:46:468
-1.110442996,-0.6231162548,12.5959405899,0.0027415948,-0.0142740337,1.6351484187,6.1542656341,87.9917077527,0,24.976061821,2019-07-25 11:50:46:471
5.4056706429,7.724981308,11.3650388718,-0.0233637583,-0.1146997266,1.850117983,6.179698608,87.9968883218,0,24.9799318314,2019-07-25 11:50:46:475
-10.2631759644,4.7674651146,10.455034256,0.2424846289,-0.1487965193,1.7294473577,6.20698039,87.9524288625,0,24.9831318855,2019-07-25 11:50:46:478
2.6157875061,2.6936120987,9.8755044937,-0.1277851686,-0.1637138499,2.0224665835,2.8065717652,89.5093355861,0,24.9860711098,2019-07-25 11:50:46:481
-3.0430059433,2.8301126957,6.4342494011,0.4729043058,0.1333011162,1.5890644135,5.8152750521,90.7416343859,0,24.9899375439,2019-07-25 11:50:46:485
-6.9201059341,-2.9556024075,10.6178770065,-0.0875616157,-0.142403368,1.7576837894,5.8414274487,90.7577150877,0,24.9931428432,2019-07-25 11:50:46:488
1.5405448675,4.1663832664,8.7188405991,0.2267681335,0.1439563738,1.8304057972,2.3009085789,91.9937791909,0,24.9961237907,2019-07-25 11:50:46:491
0.4126177728,4.2980942726,8.3692073822,0.2731184549,0.2228051834,1.8144229691,-1.3363265165,93.15180772,0,24.9999339581,2019-07-25 11:50:46:495
-5.8712053299,-0.2639037967,11.7098827362,-0.0500018731,-0.0422440516,1.9033942543,1.7654237474,87.7235850147,0,25.0031368732,2019-07-25 11:50:46:498
3.0348687172,2.3272154331,9.6144771576,-0.0191016582,0.0989379492,1.893005396,-1.5358049678,89.3001205575,0,25.0060696602,2019-07-25 11:50:46:501
2.2254433632,2.6720592976,10.06229496,0.1561771373,0.1559435115,1.7768632098,-4.8894354263,90.7828626969,0,25.0099263191,2019-07-25 11:50:46:505
-5.3683080673,0.495231837,11.8583574295,0.0160606517,0.0563169688,1.8216152351,-1.6888859916,92.5164935381,0,25.0131239891,2019-07-25 11:50:46:508
0.5682765245,3.9748032093,8.8194198608,0.1673651436,-0.0134748898,1.8367989817,-5.1791568554,93.7534218545,0,25.0160536766,2019-07-25 11:50:46:511
-2.882557869,1.4124209881,10.4981393814,0.084520602,-0.0968521864,1.8277419703,-1.7615498991,95.3066892739,0,25.0199334621,2019-07-25 11:50:46:515
6.6557302475,2.0877404213,9.9186105728,-0.1658776683,-0.1208264868,1.9707886083,-4.6273683794,96.7926039493,0,25.0231306553,2019-07-25 11:50:46:518
-8.8670377731,1.6686592102,10.7902994156,0.1306045407,-0.014806796,1.801370284,-4.624873423,96.7705969841,0,25.0260715485,2019-07-25 11:50:46:521
3.8347151279,1.8554496765,9.9545316696,-0.1496284242,-0.1101712459,1.9947629171,-7.6870878266,98.2565205464,0,25.0299401283,2019-07-25 11:50:46:525
-3.9745635986,4.0346717834,8.9247894287,0.4140340647,0.1668651518,1.7502250742,-4.4434194211,99.3305037408,0,25.0331385136,2019-07-25 11:50:46:528
1.7895988226,-0.4267467856,11.3746175766,-0.3315667515,-0.0640873072,2.0685505888,-7.7652076849,93.8412887568,0,25.0360617638,2019-07-25 11:50:46:531
-2.8586103916,3.9795925617,9.4252920151,0.2757822652,0.1146544362,1.7776622913,-4.3724258024,95.0463230178,0,25.0399575233,2019-07-25 11:50:46:535
0.9993314147,2.9354817867,10.7400093079,-0.0196344215,-0.0872624679,1.9891689472,-7.7629628849,96.4431915015,0,25.0431609154,2019-07-25 11:50:46:538
-4.6810150146,2.2984783649,8.2949695587,0.3231981007,0.0283469488,1.8823500885,-4.6010943936,97.7515242515,0,25.0460841656,2019-07-25 11:50:46:541
1.4615181684,0.7706280351,8.2614431381,-0.1078065835,-0.0062825993,2.0104794291,-7.9070686615,99.3132105185,0,25.0499331951,2019-07-25 11:50:46:545
