,Left,Middle,Right
0,,Max Y Gyro Middle,
1,,Variance Frequency Z Gyro Middle,
2,,Mean Square Frequency X Accel Middle,
3,,Root Variance Frequency Z Gyro Middle,
4,,Mean Square Frequency Y Accel Middle,
5,,Excess Kurtosis X Accel Middle,
6,,Excess Kurtosis Y Gyro Middle,
7,,Variance Frequency X Gyro Middle,
8,,Max Y Accel Middle,
9,,Zero Crossing Rate Z Gyro Middle,
10,,Autocorrelation X Gyro Middle,
11,,Mean Square Frequency Z Accel Middle,
12,,Excess Kurtosis Z Gyro Middle,
13,,Min Y Accel Middle,
14,,Zero Crossing Rate X Gyro Middle,
15,,Variance Frequency X Accel Middle,
16,,Excess Kurtosis Z Accel Middle,
17,,Mean Square Frequency X Gyro Middle,
18,,Autocorrelation X Accel Middle,
19,,Excess Kurtosis Y Accel Middle,
20,,Frequency Center Z Gyro Middle,
21,,Autocorrelation Y Accel Middle,
22,,Min X Accel Middle,
23,,Variance Frequency Y Accel Middle,
24,,Variance Frequency Y Gyro Middle,
25,,Max X Accel Middle,
26,,Skew Z Accel Middle,
27,,Mean Square Frequency Y Gyro Middle,
28,,Autocorrelation Z Gyro Middle,
29,,Skew Y Gyro Middle,
30,,Root Variance Frequency Y Accel Middle,
31,,Max X Gyro Middle,
32,,Frequency Center Z Accel Middle,
33,,Zero Crossing Rate Y Accel Middle,
34,,Skew Z Gyro Middle,
35,,Autocorrelation Y Gyro Middle,
36,,Std Dev Z Gyro Middle,
37,,Min Z Accel Middle,
38,,Root Mean Square Frequency Z Gyro Middle,
39,,Skew Y Accel Middle,
40,,Skew X Accel Middle,
41,,Max Z Accel Middle,
42,,Excess Kurtosis X Gyro Middle,
43,,Mean X Accel Middle,
44,,Root Mean Square Frequency Y Accel Middle,
45,,Zero Crossing Rate Z Accel Middle,
46,,Max Z Gyro Middle,
47,,Autocorrelation Z Accel Middle,
48,,Zero Crossing Rate Y Gyro Middle,
49,,Root Variance Frequency X Gyro Middle,
50,,Skew X Gyro Middle,
51,,Frequency Center Y Accel Middle,
52,,Root Variance Frequency X Accel Middle,
53,,Mean Square Frequency Z Gyro Middle,
54,,Mean Y Gyro Middle,
55,,Min X Gyro Middle,
56,,Zero Crossing Rate X Accel Middle,
57,,Min Y Gyro Middle,
58,,Variance Frequency Z Accel Middle,
59,,Mean Z Accel Middle,
60,,Root Mean Square Frequency X Accel Middle,
61,,Mean Y Accel Middle,
62,,Frequency Center X Gyro Middle,
63,,Frequency Center Y Gyro Middle,
64,,Root Mean Square Frequency X Gyro Middle,
65,,Std Dev X Accel Middle,
66,,Std Dev Z Accel Middle,
67,,Frequency Center X Accel Middle,
68,,Root Mean Squared Z Gyro Middle,
69,,Root Mean Squared X Accel Middle,
70,,Min Z Gyro Middle,
71,,Root Mean Squared X Gyro Middle,
72,,L2 Norm Z Accel Middle,
73,,Std Dev X Gyro Middle,
74,,Root Mean Square Frequency Y Gyro Middle,
75,,Mean X Gyro Middle,
76,,Std Dev Y Accel Middle,
77,,L2 Norm Z Gyro Middle,
78,,L2 Norm X Accel Middle,
79,,Root Mean Squared Z Accel Middle,
80,,Root Mean Squared Y Accel Middle,
81,,L2 Norm X Gyro Middle,
82,,Root Variance Frequency Y Gyro Middle,
83,,Mean Z Gyro Middle,
84,,L2 Norm Y Accel Middle,
85,,Root Mean Squared Y Gyro Middle,
86,,L2 Norm Y Gyro Middle,
87,,Root Variance Frequency Z Accel Middle,
88,,Std Dev Y Gyro Middle,
89,,Root Mean Square Frequency Z Accel Middle,
90,,Label,
