,Left,Middle,Right
0,,Autocorrelation X Accel Middle,
1,,Excess Kurtosis X Accel Middle,
2,,Mean Square Frequency Z Gyro Middle,
3,,Autocorrelation Y Accel Middle,
4,,Variance Frequency X Gyro Middle,
5,,Max Y Gyro Middle,
6,,Excess Kurtosis Z Gyro Middle,
7,,Mean Square Frequency X Accel Middle,
8,,Zero Crossing Rate X Gyro Middle,
9,,Excess Kurtosis Y Gyro Middle,
10,,Variance Frequency X Accel Middle,
11,,Max Y Accel Middle,
12,,Mean Square Frequency Y Gyro Middle,
13,,Variance Frequency Z Gyro Middle,
14,,Min Y Accel Middle,
15,,Skew X Gyro Middle,
16,,Autocorrelation X Gyro Middle,
17,,Zero Crossing Rate Z Gyro Middle,
18,,Mean X Accel Middle,
19,,Max Z Accel Middle,
20,,Mean Square Frequency Z Accel Middle,
21,,Excess Kurtosis Z Accel Middle,
22,,Std Dev Z Gyro Middle,
23,,Zero Crossing Rate Y Gyro Middle,
24,,Mean Square Frequency X Gyro Middle,
25,,Skew X Accel Middle,
26,,Variance Frequency Y Accel Middle,
27,,Zero Crossing Rate Y Accel Middle,
28,,Autocorrelation Y Gyro Middle,
29,,Frequency Center Z Gyro Middle,
30,,Excess Kurtosis Y Accel Middle,
31,,Mean Square Frequency Y Accel Middle,
32,,Excess Kurtosis X Gyro Middle,
33,,Variance Frequency Z Accel Middle,
34,,Max X Accel Middle,
35,,Skew Z Accel Middle,
36,,Autocorrelation Z Gyro Middle,
37,,Min Z Accel Middle,
38,,Variance Frequency Y Gyro Middle,
39,,Min X Accel Middle,
40,,Zero Crossing Rate X Accel Middle,
41,,Skew Y Accel Middle,
42,,Root Variance Frequency Z Gyro Middle,
43,,Autocorrelation Z Accel Middle,
44,,Mean Y Gyro Middle,
45,,Max X Gyro Middle,
46,,Max Z Gyro Middle,
47,,Skew Z Gyro Middle,
48,,Root Mean Square Frequency Y Accel Middle,
49,,Root Mean Squared Y Accel Middle,
50,,Skew Y Gyro Middle,
51,,Frequency Center Y Accel Middle,
52,,Zero Crossing Rate Z Accel Middle,
53,,Root Variance Frequency X Accel Middle,
54,,Min Y Gyro Middle,
55,,Frequency Center X Gyro Middle,
56,,Root Mean Square Frequency Z Gyro Middle,
57,,Mean Z Accel Middle,
58,,Frequency Center X Accel Middle,
59,,Frequency Center Z Accel Middle,
60,,L2 Norm Y Accel Middle,
61,,Std Dev Z Accel Middle,
62,,Frequency Center Y Gyro Middle,
63,,L2 Norm X Accel Middle,
64,,Root Variance Frequency Y Accel Middle,
65,,L2 Norm Z Gyro Middle,
66,,Root Mean Square Frequency X Accel Middle,
67,,Mean Y Accel Middle,
68,,Root Variance Frequency X Gyro Middle,
69,,Root Variance Frequency Y Gyro Middle,
70,,Min Z Gyro Middle,
71,,Min X Gyro Middle,
72,,Std Dev Y Accel Middle,
73,,Root Mean Squared Z Accel Middle,
74,,Std Dev X Gyro Middle,
75,,Root Mean Squared Z Gyro Middle,
76,,Root Mean Squared X Accel Middle,
77,,Root Mean Square Frequency Y Gyro Middle,
78,,Root Mean Square Frequency X Gyro Middle,
79,,Mean X Gyro Middle,
80,,Root Variance Frequency Z Accel Middle,
81,,L2 Norm Z Accel Middle,
82,,Root Mean Squared X Gyro Middle,
83,,Std Dev X Accel Middle,
84,,Mean Z Gyro Middle,
85,,Root Mean Square Frequency Z Accel Middle,
86,,Root Mean Squared Y Gyro Middle,
87,,L2 Norm X Gyro Middle,
88,,L2 Norm Y Gyro Middle,
89,,Std Dev Y Gyro Middle,
90,,Label,
