,Left,Middle,Right
0,,Zero Crossing Rate Y Accel Middle,
1,,Std Dev Y Accel Middle,
2,,Zero Crossing Rate X Gyro Middle,
3,,Std Dev Z Gyro Middle,
4,,Excess Kurtosis Z Accel Middle,
5,,Variance Frequency Y Gyro Middle,
6,,Std Dev X Accel Middle,
7,,Variance Frequency X Accel Middle,
8,,Autocorrelation Y Accel Middle,
9,,Excess Kurtosis Z Gyro Middle,
10,,Variance Frequency Y Accel Middle,
11,,Zero Crossing Rate Z Gyro Middle,
12,,Max Z Accel Middle,
13,,Zero Crossing Rate X Accel Middle,
14,,Variance Frequency X Gyro Middle,
15,,Min Y Accel Middle,
16,,Excess Kurtosis X Accel Middle,
17,,Max Y Gyro Middle,
18,,Root Mean Square Frequency Z Gyro Middle,
19,,Max Y Accel Middle,
20,,Excess Kurtosis X Gyro Middle,
21,,Zero Crossing Rate Z Accel Middle,
22,,Excess Kurtosis Y Accel Middle,
23,,L2 Norm X Accel Middle,
24,,Zero Crossing Rate Y Gyro Middle,
25,,Min Z Accel Middle,
26,,Autocorrelation Z Gyro Middle,
27,,Min X Accel Middle,
28,,Excess Kurtosis Y Gyro Middle,
29,,Mean Y Gyro Middle,
30,,L2 Norm Y Accel Middle,
31,,Variance Frequency Z Gyro Middle,
32,,Autocorrelation Y Gyro Middle,
33,,Skew Z Accel Middle,
34,,Root Variance Frequency Y Accel Middle,
35,,Mean X Accel Middle,
36,,Skew X Accel Middle,
37,,Mean Z Accel Middle,
38,,Skew Z Gyro Middle,
39,,Root Variance Frequency X Accel Middle,
40,,Mean Square Frequency Z Accel Middle,
41,,Variance Frequency Z Accel Middle,
42,,Autocorrelation X Gyro Middle,
43,,Mean Square Frequency Z Gyro Middle,
44,,Skew Y Accel Middle,
45,,Mean Square Frequency Y Accel Middle,
46,,Max X Gyro Middle,
47,,Skew Y Gyro Middle,
48,,Root Mean Squared Y Accel Middle,
49,,Mean Square Frequency Y Gyro Middle,
50,,Skew X Gyro Middle,
51,,Root Variance Frequency Z Gyro Middle,
52,,Frequency Center X Gyro Middle,
53,,Root Mean Squared X Accel Middle,
54,,Frequency Center Z Gyro Middle,
55,,Mean Y Accel Middle,
56,,Autocorrelation Z Accel Middle,
57,,Frequency Center X Accel Middle,
58,,Std Dev X Gyro Middle,
59,,Frequency Center Y Gyro Middle,
60,,Root Mean Squared X Gyro Middle,
61,,Frequency Center Y Accel Middle,
62,,Mean Square Frequency X Accel Middle,
63,,Root Mean Squared Y Gyro Middle,
64,,Mean Z Gyro Middle,
65,,Root Mean Square Frequency Y Accel Middle,
66,,Max X Accel Middle,
67,,Root Mean Square Frequency X Accel Middle,
68,,Frequency Center Z Accel Middle,
69,,Mean Square Frequency X Gyro Middle,
70,,Root Mean Squared Z Gyro Middle,
71,,Min Y Gyro Middle,
72,,Std Dev Y Gyro Middle,
73,,Autocorrelation X Accel Middle,
74,,Mean X Gyro Middle,
75,,Root Variance Frequency Y Gyro Middle,
76,,L2 Norm X Gyro Middle,
77,,Root Variance Frequency Z Accel Middle,
78,,Min X Gyro Middle,
79,,Min Z Gyro Middle,
80,,Std Dev Z Accel Middle,
81,,Root Variance Frequency X Gyro Middle,
82,,L2 Norm Z Gyro Middle,
83,,L2 Norm Y Gyro Middle,
84,,Root Mean Square Frequency Y Gyro Middle,
85,,Root Mean Square Frequency X Gyro Middle,
86,,Root Mean Square Frequency Z Accel Middle,
87,,Max Z Gyro Middle,
88,,L2 Norm Z Accel Middle,
89,,Root Mean Squared Z Accel Middle,
90,,Label,
