,Left,Middle,Right
0,,Max Y Gyro Middle,
1,,Excess Kurtosis X Accel Middle,
2,,Autocorrelation X Gyro Middle,
3,,Variance Frequency Y Accel Middle,
4,,Zero Crossing Rate Z Gyro Middle,
5,,Excess Kurtosis Y Accel Middle,
6,,Root Variance Frequency Z Gyro Middle,
7,,Excess Kurtosis Z Accel Middle,
8,,Max Y Accel Middle,
9,,Excess Kurtosis Z Gyro Middle,
10,,Autocorrelation Y Gyro Middle,
11,,Variance Frequency X Gyro Middle,
12,,Max X Accel Middle,
13,,Autocorrelation Y Accel Middle,
14,,Skew Z Accel Middle,
15,,Skew Y Gyro Middle,
16,,Mean Square Frequency X Accel Middle,
17,,Frequency Center Z Gyro Middle,
18,,Excess Kurtosis Y Gyro Middle,
19,,Frequency Center Y Gyro Middle,
20,,Autocorrelation X Accel Middle,
21,,Zero Crossing Rate X Accel Middle,
22,,Skew Y Accel Middle,
23,,Root Variance Frequency Y Accel Middle,
24,,Skew X Gyro Middle,
25,,Zero Crossing Rate X Gyro Middle,
26,,Frequency Center Z Accel Middle,
27,,Mean Square Frequency Z Accel Middle,
28,,Autocorrelation Z Gyro Middle,
29,,Min X Accel Middle,
30,,Skew X Accel Middle,
31,,Variance Frequency X Accel Middle,
32,,Skew Z Gyro Middle,
33,,Max Z Accel Middle,
34,,Variance Frequency Z Gyro Middle,
35,,Min Y Accel Middle,
36,,Root Mean Square Frequency Z Gyro Middle,
37,,Max X Gyro Middle,
38,,Zero Crossing Rate Y Accel Middle,
39,,Mean Square Frequency Y Gyro Middle,
40,,Mean Z Accel Middle,
41,,Autocorrelation Z Accel Middle,
42,,Excess Kurtosis X Gyro Middle,
43,,Mean Y Gyro Middle,
44,,Std Dev Z Gyro Middle,
45,,Mean Square Frequency Y Accel Middle,
46,,Zero Crossing Rate Y Gyro Middle,
47,,Min X Gyro Middle,
48,,Max Z Gyro Middle,
49,,Min Y Gyro Middle,
50,,Zero Crossing Rate Z Accel Middle,
51,,Root Mean Square Frequency Y Accel Middle,
52,,Mean X Accel Middle,
53,,Mean Square Frequency Z Gyro Middle,
54,,Root Mean Square Frequency X Accel Middle,
55,,Mean Square Frequency X Gyro Middle,
56,,Std Dev X Gyro Middle,
57,,Variance Frequency Y Gyro Middle,
58,,Min Z Accel Middle,
59,,Frequency Center X Gyro Middle,
60,,Variance Frequency Z Accel Middle,
61,,Frequency Center X Accel Middle,
62,,Frequency Center Y Accel Middle,
63,,L2 Norm X Accel Middle,
64,,Mean Y Accel Middle,
65,,Root Mean Squared Z Gyro Middle,
66,,Root Variance Frequency X Accel Middle,
67,,Min Z Gyro Middle,
68,,L2 Norm Z Accel Middle,
69,,Std Dev Y Accel Middle,
70,,Root Mean Square Frequency X Gyro Middle,
71,,L2 Norm X Gyro Middle,
72,,Mean X Gyro Middle,
73,,L2 Norm Y Accel Middle,
74,,Root Mean Squared Z Accel Middle,
75,,Root Mean Squared X Accel Middle,
76,,L2 Norm Z Gyro Middle,
77,,Root Variance Frequency X Gyro Middle,
78,,Root Mean Squared Y Gyro Middle,
79,,Mean Z Gyro Middle,
80,,Root Mean Squared X Gyro Middle,
81,,Root Mean Squared Y Accel Middle,
82,,Std Dev Z Accel Middle,
83,,L2 Norm Y Gyro Middle,
84,,Std Dev X Accel Middle,
85,,Root Variance Frequency Y Gyro Middle,
86,,Std Dev Y Gyro Middle,
87,,Root Variance Frequency Z Accel Middle,
88,,Root Mean Square Frequency Y Gyro Middle,
89,,Root Mean Square Frequency Z Accel Middle,
90,,Label,
