,Left,Middle,Right
213,Y Accel 35.0 Hz,X Accel 80.0 Hz,X Gyro 69.0 Hz
214,X Gyro 42.0 Hz,Z Accel 7.0 Hz,Z Accel 2.0 Hz
215,Y Accel 72.0 Hz,Y Accel 68.0 Hz,Y Accel 87.0 Hz
216,X Accel 40.0 Hz,X Accel 16.0 Hz,Z Accel 3.0 Hz
217,Y Gyro 74.0 Hz,Y Accel 99.0 Hz,X Gyro 50.0 Hz
218,Z Gyro 19.0 Hz,X Accel 15.0 Hz,Z Gyro 17.0 Hz
219,X Gyro 61.0 Hz,X Gyro 72.0 Hz,Y Accel 98.0 Hz
220,Y Accel 36.0 Hz,Z Accel 93.0 Hz,X Accel 95.0 Hz
221,Z Accel 2.0 Hz,Z Accel 39.0 Hz,Z Accel 1.0 Hz
222,Y Accel 42.0 Hz,Z Accel 83.0 Hz,Y Gyro 76.0 Hz
223,Y Accel 81.0 Hz,Z Accel 44.0 Hz,X Gyro 88.0 Hz
224,X Gyro 53.0 Hz,Y Accel 67.0 Hz,Y Accel 59.0 Hz
225,Z Gyro 29.0 Hz,Z Accel 42.0 Hz,X Accel 83.0 Hz
226,Y Accel 0.0 Hz,X Accel 86.0 Hz,Y Accel 39.0 Hz
227,X Accel 27.0 Hz,Y Accel 70.0 Hz,X Accel 36.0 Hz
228,Y Accel 38.0 Hz,X Accel 3.0 Hz,Z Gyro 13.0 Hz
229,X Accel 38.0 Hz,Z Accel 47.0 Hz,Y Gyro 63.0 Hz
230,X Gyro 50.0 Hz,X Gyro 83.0 Hz,X Accel 35.0 Hz
231,Y Accel 39.0 Hz,X Accel 42.0 Hz,Y Accel 56.0 Hz
232,Z Accel 3.0 Hz,X Accel 84.0 Hz,X Gyro 71.0 Hz
233,Y Gyro 72.0 Hz,Y Gyro 19.0 Hz,Y Accel 26.0 Hz
234,X Gyro 57.0 Hz,X Accel 76.0 Hz,X Accel 61.0 Hz
235,Y Accel 47.0 Hz,X Gyro 73.0 Hz,X Gyro 44.0 Hz
236,X Accel 28.0 Hz,Y Accel 66.0 Hz,Y Accel 32.0 Hz
237,Z Gyro 83.0 Hz,Y Gyro 42.0 Hz,Z Gyro 14.0 Hz
238,Y Accel 34.0 Hz,X Accel 85.0 Hz,X Accel 25.0 Hz
239,X Accel 30.0 Hz,X Gyro 74.0 Hz,Y Gyro 87.0 Hz
240,Y Gyro 53.0 Hz,X Accel 83.0 Hz,X Gyro 63.0 Hz
241,X Accel 35.0 Hz,Z Accel 18.0 Hz,Y Accel 94.0 Hz
242,Y Accel 30.0 Hz,Z Accel 81.0 Hz,Y Accel 41.0 Hz
243,X Gyro 0.0 Hz,X Gyro 43.0 Hz,X Accel 39.0 Hz
244,X Accel 25.0 Hz,Y Accel 5.0 Hz,Y Gyro 86.0 Hz
245,Y Accel 41.0 Hz,X Gyro 17.0 Hz,Y Accel 86.0 Hz
246,Z Gyro 13.0 Hz,X Gyro 42.0 Hz,X Gyro 41.0 Hz
247,X Gyro 41.0 Hz,X Accel 87.0 Hz,X Accel 57.0 Hz
248,Y Accel 70.0 Hz,Z Accel 46.0 Hz,Z Gyro 27.0 Hz
249,Y Gyro 79.0 Hz,Z Accel 19.0 Hz,Y Accel 23.0 Hz
250,Y Accel 24.0 Hz,Z Accel 84.0 Hz,X Gyro 87.0 Hz
251,X Gyro 48.0 Hz,Z Accel 53.0 Hz,X Accel 30.0 Hz
252,Y Gyro 0.0 Hz,X Accel 29.0 Hz,Y Accel 52.0 Hz
253,X Accel 1.0 Hz,X Accel 41.0 Hz,Y Gyro 67.0 Hz
254,X Gyro 40.0 Hz,Z Accel 1.0 Hz,Y Accel 29.0 Hz
255,Y Accel 37.0 Hz,X Accel 17.0 Hz,X Accel 32.0 Hz
256,X Accel 20.0 Hz,X Gyro 80.0 Hz,Y Accel 67.0 Hz
257,Y Accel 29.0 Hz,Y Accel 43.0 Hz,X Gyro 62.0 Hz
258,X Accel 79.0 Hz,X Gyro 18.0 Hz,Z Gyro 20.0 Hz
259,Z Gyro 15.0 Hz,Z Accel 4.0 Hz,Y Accel 36.0 Hz
260,Y Accel 80.0 Hz,X Gyro 79.0 Hz,Y Accel 38.0 Hz
261,X Accel 0.0 Hz,X Accel 30.0 Hz,X Gyro 81.0 Hz
262,X Gyro 46.0 Hz,Z Accel 99.0 Hz,X Accel 27.0 Hz
263,Z Accel 1.0 Hz,Z Accel 49.0 Hz,X Accel 58.0 Hz
264,X Accel 39.0 Hz,Z Accel 29.0 Hz,Y Accel 55.0 Hz
265,Y Gyro 81.0 Hz,X Gyro 77.0 Hz,Y Gyro 93.0 Hz
266,Z Gyro 44.0 Hz,X Accel 28.0 Hz,X Gyro 1.0 Hz
267,Y Accel 84.0 Hz,X Gyro 99.0 Hz,X Accel 28.0 Hz
268,X Accel 23.0 Hz,Z Accel 2.0 Hz,Y Accel 96.0 Hz
269,X Gyro 69.0 Hz,Y Gyro 31.0 Hz,Z Gyro 3.0 Hz
270,Y Accel 23.0 Hz,X Accel 57.0 Hz,X Accel 84.0 Hz
271,Y Accel 31.0 Hz,Z Accel 6.0 Hz,Y Accel 25.0 Hz
272,X Accel 19.0 Hz,Z Accel 82.0 Hz,X Gyro 77.0 Hz
273,X Gyro 52.0 Hz,Y Accel 18.0 Hz,Y Accel 61.0 Hz
274,Z Gyro 24.0 Hz,X Accel 88.0 Hz,X Accel 93.0 Hz
275,Y Accel 45.0 Hz,X Accel 75.0 Hz,Y Gyro 59.0 Hz
276,Y Gyro 77.0 Hz,Z Accel 54.0 Hz,Z Gyro 12.0 Hz
277,X Accel 47.0 Hz,Y Gyro 28.0 Hz,Y Accel 19.0 Hz
278,X Gyro 51.0 Hz,Z Accel 3.0 Hz,X Accel 20.0 Hz
279,Y Gyro 73.0 Hz,X Gyro 78.0 Hz,Y Accel 35.0 Hz
280,X Accel 31.0 Hz,Y Gyro 29.0 Hz,X Gyro 84.0 Hz
281,Z Gyro 71.0 Hz,X Accel 91.0 Hz,X Accel 1.0 Hz
282,Y Accel 49.0 Hz,X Accel 43.0 Hz,Y Gyro 31.0 Hz
283,X Gyro 56.0 Hz,X Accel 31.0 Hz,Y Accel 68.0 Hz
284,Y Accel 82.0 Hz,Y Gyro 43.0 Hz,X Accel 41.0 Hz
285,X Accel 21.0 Hz,Z Accel 5.0 Hz,Y Accel 97.0 Hz
286,Y Accel 32.0 Hz,X Accel 52.0 Hz,X Accel 29.0 Hz
287,X Gyro 34.0 Hz,X Accel 90.0 Hz,Z Gyro 19.0 Hz
288,Z Gyro 99.0 Hz,X Accel 46.0 Hz,X Gyro 80.0 Hz
289,Y Accel 44.0 Hz,X Accel 53.0 Hz,Y Accel 45.0 Hz
290,X Gyro 54.0 Hz,Z Accel 27.0 Hz,Y Accel 31.0 Hz
291,X Accel 24.0 Hz,X Accel 51.0 Hz,X Accel 23.0 Hz
292,Y Gyro 78.0 Hz,X Accel 89.0 Hz,X Gyro 48.0 Hz
293,Z Gyro 36.0 Hz,Y Accel 19.0 Hz,Y Gyro 65.0 Hz
294,Y Accel 28.0 Hz,X Gyro 75.0 Hz,X Accel 31.0 Hz
295,X Gyro 71.0 Hz,Z Accel 52.0 Hz,X Gyro 0.0 Hz
296,X Gyro 27.0 Hz,Z Accel 50.0 Hz,Y Accel 66.0 Hz
297,Y Gyro 52.0 Hz,Z Accel 28.0 Hz,X Accel 59.0 Hz
298,X Accel 50.0 Hz,Y Gyro 44.0 Hz,X Gyro 70.0 Hz
299,X Gyro 47.0 Hz,X Accel 56.0 Hz,Y Gyro 90.0 Hz
300,Z Gyro 76.0 Hz,X Accel 2.0 Hz,Y Accel 28.0 Hz
301,Y Accel 26.0 Hz,Y Gyro 27.0 Hz,Y Accel 47.0 Hz
302,X Accel 81.0 Hz,X Gyro 19.0 Hz,X Accel 53.0 Hz
303,Y Gyro 51.0 Hz,Z Accel 58.0 Hz,Z Gyro 16.0 Hz
304,X Accel 80.0 Hz,X Accel 94.0 Hz,X Gyro 32.0 Hz
305,X Gyro 35.0 Hz,Z Accel 48.0 Hz,Y Accel 46.0 Hz
306,X Accel 78.0 Hz,Y Gyro 30.0 Hz,Y Gyro 41.0 Hz
307,Z Gyro 53.0 Hz,Z Accel 77.0 Hz,X Gyro 68.0 Hz
308,X Accel 49.0 Hz,X Accel 55.0 Hz,X Accel 42.0 Hz
309,Y Accel 20.0 Hz,Z Gyro 62.0 Hz,Y Accel 64.0 Hz
310,X Gyro 43.0 Hz,X Accel 95.0 Hz,X Accel 99.0 Hz
311,Z Gyro 86.0 Hz,X Accel 58.0 Hz,X Gyro 27.0 Hz
312,X Accel 42.0 Hz,Z Accel 51.0 Hz,Z Gyro 43.0 Hz
313,Y Accel 21.0 Hz,Z Gyro 64.0 Hz,Z Accel 0.0 Hz
314,X Gyro 65.0 Hz,X Accel 54.0 Hz,Y Gyro 57.0 Hz
315,Y Accel 1.0 Hz,X Accel 74.0 Hz,Y Accel 95.0 Hz
316,Y Accel 19.0 Hz,Y Accel 42.0 Hz,X Accel 40.0 Hz
317,Z Gyro 33.0 Hz,X Accel 97.0 Hz,Y Accel 53.0 Hz
318,Y Gyro 89.0 Hz,X Gyro 20.0 Hz,X Gyro 42.0 Hz
319,X Gyro 38.0 Hz,X Gyro 32.0 Hz,Y Accel 20.0 Hz
320,X Accel 17.0 Hz,X Accel 98.0 Hz,X Gyro 67.0 Hz
321,X Accel 84.0 Hz,Z Accel 31.0 Hz,Y Gyro 26.0 Hz
322,X Gyro 80.0 Hz,X Gyro 29.0 Hz,Z Gyro 18.0 Hz
323,Z Gyro 37.0 Hz,X Accel 27.0 Hz,Y Accel 27.0 Hz
324,Y Accel 27.0 Hz,X Accel 18.0 Hz,X Gyro 28.0 Hz
325,X Accel 2.0 Hz,X Accel 92.0 Hz,Y Accel 62.0 Hz
326,X Accel 82.0 Hz,X Gyro 41.0 Hz,X Accel 26.0 Hz
327,Y Gyro 50.0 Hz,X Accel 44.0 Hz,Y Gyro 51.0 Hz
328,X Gyro 45.0 Hz,X Gyro 33.0 Hz,Y Accel 2.0 Hz
329,Y Accel 85.0 Hz,Y Accel 4.0 Hz,Z Gyro 26.0 Hz
330,X Accel 45.0 Hz,X Accel 96.0 Hz,X Accel 55.0 Hz
331,Z Gyro 20.0 Hz,Z Gyro 58.0 Hz,X Gyro 33.0 Hz
332,X Gyro 23.0 Hz,Z Accel 78.0 Hz,Y Accel 49.0 Hz
333,Y Gyro 1.0 Hz,Y Gyro 45.0 Hz,X Accel 45.0 Hz
334,X Accel 46.0 Hz,X Gyro 30.0 Hz,Y Accel 1.0 Hz
335,Y Gyro 29.0 Hz,X Accel 93.0 Hz,Y Gyro 88.0 Hz
336,X Gyro 49.0 Hz,Z Accel 57.0 Hz,X Accel 19.0 Hz
337,Y Accel 89.0 Hz,Z Gyro 69.0 Hz,Y Accel 24.0 Hz
338,X Accel 48.0 Hz,X Accel 47.0 Hz,X Gyro 86.0 Hz
339,Z Gyro 75.0 Hz,Z Gyro 59.0 Hz,Z Gyro 81.0 Hz
340,Y Accel 18.0 Hz,X Gyro 28.0 Hz,Y Accel 30.0 Hz
341,X Gyro 39.0 Hz,Z Accel 79.0 Hz,Y Gyro 36.0 Hz
342,Y Accel 87.0 Hz,Z Gyro 60.0 Hz,Y Accel 65.0 Hz
343,Z Accel 0.0 Hz,X Accel 49.0 Hz,X Gyro 49.0 Hz
344,X Gyro 28.0 Hz,Z Accel 59.0 Hz,X Accel 90.0 Hz
345,Z Gyro 25.0 Hz,Z Gyro 67.0 Hz,Y Accel 50.0 Hz
346,Y Accel 15.0 Hz,X Accel 26.0 Hz,X Accel 18.0 Hz
347,X Gyro 21.0 Hz,Z Accel 30.0 Hz,Z Gyro 34.0 Hz
348,Y Accel 43.0 Hz,Z Accel 56.0 Hz,Y Accel 40.0 Hz
349,Y Gyro 49.0 Hz,Z Gyro 61.0 Hz,X Gyro 52.0 Hz
350,Y Accel 25.0 Hz,X Accel 73.0 Hz,Y Gyro 12.0 Hz
351,X Gyro 29.0 Hz,Y Gyro 46.0 Hz,X Accel 52.0 Hz
352,Z Gyro 81.0 Hz,Z Gyro 63.0 Hz,Y Accel 63.0 Hz
353,X Gyro 68.0 Hz,X Gyro 76.0 Hz,Y Gyro 10.0 Hz
354,Y Gyro 2.0 Hz,X Accel 99.0 Hz,Z Gyro 83.0 Hz
355,X Accel 43.0 Hz,X Gyro 27.0 Hz,Y Accel 99.0 Hz
356,X Gyro 37.0 Hz,X Accel 45.0 Hz,X Accel 51.0 Hz
357,Y Gyro 36.0 Hz,Y Gyro 97.0 Hz,X Gyro 36.0 Hz
358,Z Gyro 47.0 Hz,X Accel 50.0 Hz,Y Gyro 62.0 Hz
359,X Accel 86.0 Hz,Y Gyro 98.0 Hz,X Accel 2.0 Hz
360,Y Accel 17.0 Hz,Z Gyro 71.0 Hz,X Gyro 43.0 Hz
361,X Gyro 22.0 Hz,Z Accel 26.0 Hz,X Accel 44.0 Hz
362,Y Gyro 34.0 Hz,X Accel 19.0 Hz,Y Accel 48.0 Hz
363,Z Gyro 18.0 Hz,Z Accel 0.0 Hz,Z Gyro 23.0 Hz
364,Y Gyro 48.0 Hz,X Gyro 26.0 Hz,Y Gyro 34.0 Hz
365,X Gyro 73.0 Hz,Z Accel 76.0 Hz,X Gyro 45.0 Hz
366,X Accel 18.0 Hz,X Accel 48.0 Hz,X Accel 92.0 Hz
367,Y Gyro 83.0 Hz,X Gyro 31.0 Hz,Y Accel 21.0 Hz
368,X Gyro 31.0 Hz,Z Accel 80.0 Hz,Y Gyro 91.0 Hz
369,Z Gyro 28.0 Hz,Z Gyro 68.0 Hz,X Accel 54.0 Hz
370,Y Accel 2.0 Hz,Z Accel 20.0 Hz,Y Accel 18.0 Hz
371,X Accel 83.0 Hz,X Gyro 40.0 Hz,Z Gyro 69.0 Hz
372,Y Gyro 84.0 Hz,Z Gyro 56.0 Hz,X Accel 85.0 Hz
373,X Gyro 36.0 Hz,X Accel 60.0 Hz,Y Accel 54.0 Hz
374,Z Gyro 89.0 Hz,Z Accel 61.0 Hz,Y Gyro 66.0 Hz
375,Y Accel 86.0 Hz,Z Gyro 66.0 Hz,X Gyro 51.0 Hz
376,X Accel 16.0 Hz,X Accel 61.0 Hz,X Accel 22.0 Hz
377,Y Gyro 33.0 Hz,Z Gyro 53.0 Hz,Z Gyro 30.0 Hz
378,X Gyro 70.0 Hz,X Gyro 21.0 Hz,Y Gyro 46.0 Hz
379,Z Gyro 51.0 Hz,X Accel 62.0 Hz,X Accel 43.0 Hz
380,X Gyro 24.0 Hz,Z Gyro 57.0 Hz,X Gyro 24.0 Hz
381,Y Gyro 3.0 Hz,Y Gyro 47.0 Hz,X Accel 86.0 Hz
382,Y Accel 16.0 Hz,X Accel 63.0 Hz,Y Gyro 89.0 Hz
383,Y Accel 92.0 Hz,X Accel 1.0 Hz,Y Accel 22.0 Hz
384,X Accel 44.0 Hz,Z Gyro 70.0 Hz,X Gyro 29.0 Hz
385,Z Gyro 17.0 Hz,Y Gyro 20.0 Hz,Y Accel 51.0 Hz
386,X Gyro 33.0 Hz,Z Gyro 55.0 Hz,Z Gyro 32.0 Hz
387,Y Gyro 39.0 Hz,Y Gyro 96.0 Hz,Y Gyro 42.0 Hz
388,X Accel 85.0 Hz,Z Gyro 65.0 Hz,Y Accel 16.0 Hz
389,Z Gyro 35.0 Hz,X Gyro 34.0 Hz,X Accel 46.0 Hz
390,X Gyro 25.0 Hz,Y Gyro 94.0 Hz,X Gyro 25.0 Hz
391,Y Accel 99.0 Hz,X Gyro 24.0 Hz,Y Gyro 94.0 Hz
392,Y Gyro 28.0 Hz,Y Gyro 48.0 Hz,X Accel 88.0 Hz
393,X Accel 87.0 Hz,Z Accel 75.0 Hz,Z Gyro 38.0 Hz
394,Y Gyro 82.0 Hz,Z Accel 55.0 Hz,X Accel 16.0 Hz
395,Z Gyro 22.0 Hz,Z Accel 60.0 Hz,X Accel 47.0 Hz
396,X Accel 99.0 Hz,Z Gyro 54.0 Hz,X Gyro 89.0 Hz
397,Y Gyro 32.0 Hz,Y Accel 20.0 Hz,Y Gyro 56.0 Hz
398,Y Accel 88.0 Hz,Y Gyro 95.0 Hz,X Accel 91.0 Hz
399,Z Gyro 87.0 Hz,Y Gyro 89.0 Hz,Z Gyro 79.0 Hz
400,X Gyro 26.0 Hz,X Accel 59.0 Hz,X Gyro 30.0 Hz
401,Y Accel 90.0 Hz,Z Gyro 51.0 Hz,Y Gyro 48.0 Hz
402,Y Gyro 80.0 Hz,Y Gyro 90.0 Hz,X Accel 49.0 Hz
403,X Gyro 2.0 Hz,Y Accel 41.0 Hz,X Gyro 40.0 Hz
