,Left,Middle,Right
513,X Gyro 54.5 Hz,Y Accel 48.5 Hz,X Gyro 54.5 Hz
514,Y Gyro 55.6 Hz,X Gyro 89.9 Hz,Y Gyro 55.6 Hz
515,Z Gyro 54.5 Hz,X Gyro 50.5 Hz,Z Gyro 54.5 Hz
516,Z Gyro 55.6 Hz,X Gyro 39.4 Hz,Z Gyro 55.6 Hz
517,Y Gyro 53.5 Hz,X Gyro 90.9 Hz,Y Gyro 53.5 Hz
518,X Accel 54.5 Hz,X Gyro 40.4 Hz,X Accel 54.5 Hz
519,X Gyro 53.5 Hz,Z Accel 90.9 Hz,X Gyro 53.5 Hz
520,Z Accel 53.5 Hz,Z Gyro 39.4 Hz,Z Accel 53.5 Hz
521,Z Gyro 53.5 Hz,Y Gyro 39.4 Hz,Z Gyro 53.5 Hz
522,Z Accel 54.5 Hz,Z Gyro 40.4 Hz,Z Accel 54.5 Hz
523,Y Accel 54.5 Hz,Y Accel 90.9 Hz,Y Accel 54.5 Hz
524,Y Accel 62.6 Hz,Z Gyro 38.4 Hz,Y Accel 62.6 Hz
525,Y Accel 50.5 Hz,Y Gyro 38.4 Hz,Y Accel 50.5 Hz
526,Z Gyro 70.7 Hz,X Gyro 38.4 Hz,Z Gyro 70.7 Hz
527,Y Accel 71.7 Hz,Y Gyro 90.9 Hz,Y Accel 71.7 Hz
528,Y Gyro 70.7 Hz,Y Gyro 40.4 Hz,Y Gyro 70.7 Hz
529,Z Accel 70.7 Hz,Z Gyro 50.5 Hz,Z Accel 70.7 Hz
530,X Accel 71.7 Hz,Z Accel 85.9 Hz,X Accel 71.7 Hz
531,Y Accel 70.7 Hz,Y Gyro 42.4 Hz,Y Accel 70.7 Hz
532,Z Accel 71.7 Hz,Y Gyro 89.9 Hz,Z Accel 71.7 Hz
533,X Gyro 70.7 Hz,Z Gyro 43.4 Hz,X Gyro 70.7 Hz
534,Y Gyro 71.7 Hz,Y Gyro 43.4 Hz,Y Gyro 71.7 Hz
535,Z Accel 69.7 Hz,X Gyro 43.4 Hz,Z Accel 69.7 Hz
536,Y Gyro 69.7 Hz,X Gyro 44.4 Hz,Y Gyro 69.7 Hz
537,Y Accel 69.7 Hz,Z Gyro 89.9 Hz,Y Accel 69.7 Hz
538,X Accel 72.7 Hz,X Gyro 42.4 Hz,X Accel 72.7 Hz
539,X Gyro 69.7 Hz,Z Gyro 41.4 Hz,X Gyro 69.7 Hz
540,X Accel 70.7 Hz,Y Gyro 41.4 Hz,X Accel 70.7 Hz
541,Z Gyro 69.7 Hz,X Gyro 41.4 Hz,Z Gyro 69.7 Hz
542,X Gyro 71.7 Hz,Z Accel 88.9 Hz,X Gyro 71.7 Hz
543,Z Gyro 68.7 Hz,Z Gyro 37.4 Hz,Z Gyro 68.7 Hz
544,Z Gyro 71.7 Hz,Y Gyro 50.5 Hz,Z Gyro 71.7 Hz
545,X Accel 74.7 Hz,Z Gyro 57.6 Hz,X Accel 74.7 Hz
546,Z Accel 74.7 Hz,Y Gyro 57.6 Hz,Z Accel 74.7 Hz
547,Z Gyro 73.7 Hz,Y Gyro 58.6 Hz,Z Gyro 73.7 Hz
548,X Gyro 73.7 Hz,X Gyro 58.6 Hz,X Gyro 73.7 Hz
549,Y Accel 74.7 Hz,Z Accel 58.6 Hz,Y Accel 74.7 Hz
550,Z Accel 73.7 Hz,Y Accel 58.6 Hz,Z Accel 73.7 Hz
551,X Gyro 74.7 Hz,Y Accel 59.6 Hz,X Gyro 74.7 Hz
552,Y Gyro 73.7 Hz,X Gyro 59.6 Hz,Y Gyro 73.7 Hz
553,X Gyro 68.7 Hz,X Gyro 57.6 Hz,X Gyro 68.7 Hz
554,X Gyro 72.7 Hz,Y Accel 57.6 Hz,X Gyro 72.7 Hz
555,Z Gyro 72.7 Hz,Y Gyro 86.9 Hz,Z Gyro 72.7 Hz
556,Z Accel 72.7 Hz,Z Gyro 56.6 Hz,Z Accel 72.7 Hz
557,Y Accel 72.7 Hz,Z Gyro 58.6 Hz,Y Accel 72.7 Hz
558,Y Gyro 72.7 Hz,X Gyro 56.6 Hz,Y Gyro 72.7 Hz
559,Y Accel 73.7 Hz,Z Gyro 60.6 Hz,Y Accel 73.7 Hz
560,X Accel 73.7 Hz,Y Gyro 60.6 Hz,X Accel 73.7 Hz
561,X Accel 69.7 Hz,Y Gyro 61.6 Hz,X Accel 69.7 Hz
562,Y Gyro 74.7 Hz,X Gyro 61.6 Hz,Y Gyro 74.7 Hz
563,Y Gyro 68.7 Hz,Z Accel 61.6 Hz,Y Gyro 68.7 Hz
564,X Gyro 64.6 Hz,Y Accel 61.6 Hz,X Gyro 64.6 Hz
565,Z Gyro 64.6 Hz,Y Accel 56.6 Hz,Z Gyro 64.6 Hz
566,Z Accel 64.6 Hz,Y Gyro 59.6 Hz,Z Accel 64.6 Hz
567,X Accel 64.6 Hz,X Gyro 60.6 Hz,X Accel 64.6 Hz
568,Y Gyro 64.6 Hz,Z Accel 60.6 Hz,Y Gyro 64.6 Hz
569,Z Gyro 63.6 Hz,Y Accel 60.6 Hz,Z Gyro 63.6 Hz
570,X Accel 65.7 Hz,Z Gyro 59.6 Hz,X Accel 65.7 Hz
571,Y Accel 64.6 Hz,Y Gyro 56.6 Hz,Y Accel 64.6 Hz
572,Z Accel 65.7 Hz,Z Gyro 61.6 Hz,Z Accel 65.7 Hz
573,X Accel 63.6 Hz,Y Gyro 87.9 Hz,X Accel 63.6 Hz
574,Z Accel 63.6 Hz,Z Gyro 51.5 Hz,Z Accel 63.6 Hz
575,Z Gyro 62.6 Hz,Z Gyro 52.5 Hz,Z Gyro 62.6 Hz
576,Y Gyro 65.7 Hz,Y Gyro 52.5 Hz,Y Gyro 65.7 Hz
577,Y Accel 63.6 Hz,X Gyro 52.5 Hz,Y Accel 63.6 Hz
578,Y Gyro 63.6 Hz,Y Accel 52.5 Hz,Y Gyro 63.6 Hz
579,X Gyro 63.6 Hz,X Gyro 53.5 Hz,X Gyro 63.6 Hz
580,Y Accel 65.7 Hz,Y Gyro 53.5 Hz,Y Accel 65.7 Hz
581,Y Gyro 62.6 Hz,Y Gyro 51.5 Hz,Y Gyro 62.6 Hz
582,X Gyro 65.7 Hz,X Gyro 51.5 Hz,X Gyro 65.7 Hz
583,Y Gyro 67.7 Hz,Z Gyro 87.9 Hz,Y Gyro 67.7 Hz
584,X Accel 68.7 Hz,Y Accel 51.5 Hz,X Accel 68.7 Hz
585,X Gyro 67.7 Hz,X Gyro 87.9 Hz,X Gyro 67.7 Hz
586,Y Accel 67.7 Hz,Y Accel 88.9 Hz,Y Accel 67.7 Hz
587,Z Gyro 67.7 Hz,Y Accel 87.9 Hz,Z Gyro 67.7 Hz
588,X Accel 67.7 Hz,Z Gyro 54.5 Hz,X Accel 67.7 Hz
589,Y Accel 68.7 Hz,Z Gyro 55.6 Hz,Y Accel 68.7 Hz
590,Z Accel 67.7 Hz,Y Gyro 55.6 Hz,Z Accel 67.7 Hz
591,Z Accel 68.7 Hz,X Gyro 55.6 Hz,Z Accel 68.7 Hz
592,Y Accel 66.7 Hz,Y Accel 55.6 Hz,Y Accel 66.7 Hz
593,X Gyro 66.7 Hz,Z Gyro 86.9 Hz,X Gyro 66.7 Hz
594,X Accel 66.7 Hz,Z Gyro 53.5 Hz,X Accel 66.7 Hz
595,Z Gyro 65.7 Hz,Y Gyro 54.5 Hz,Z Gyro 65.7 Hz
596,Z Accel 66.7 Hz,X Gyro 54.5 Hz,Z Accel 66.7 Hz
597,Z Gyro 66.7 Hz,Y Accel 54.5 Hz,Z Gyro 66.7 Hz
598,Y Gyro 66.7 Hz,Z Accel 87.9 Hz,Y Gyro 66.7 Hz
599,X Accel 50.5 Hz,Z Gyro 100.0 Hz,X Accel 50.5 Hz
600,Label,Label,Label
