ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,MagX,MagY,MagZ
-0.22836093604564667,0.06652135401964188,9.79305362701416,0.0032369305644840782,-0.0024782768530356414,0.0022943408469817354,0.0,2019-06-20 14:49:02:897,0.0,0.0,0.0
-0.2451241910457611,0.03299486264586449,9.790658950805664,0.0009726907199013442,-0.003943373314850702,0.0013620067703822866,0.005878925323486328,2019-06-20 14:49:02:903,0.0,0.0,0.0
-0.19722919166088104,0.06412661075592041,9.838553428649902,0.0019050247965007928,-0.007539518797379559,0.0012288162065876742,0.010031700134277344,2019-06-20 14:49:02:907,0.0,0.0,0.0
-0.2068081945180893,0.06891610473394394,9.814606666564941,-0.0004924055468579722,-0.002744658240699191,0.0014951973341768988,0.015018463134765625,2019-06-20 14:49:02:912,0.0,0.0,0.0
-0.19243969023227692,0.06652135401964188,9.867290496826172,0.0011058812836959564,-0.004342945006234539,0.0013620067703822866,0.020003795623779297,2019-06-20 14:49:02:917,0.0,0.0,0.0
-0.2331504374742508,0.07610035687685013,9.857711791992188,0.0028373588731002413,-0.0026114674168302536,-0.00010308950450435256,0.025896072387695312,2019-06-20 14:49:02:923,0.0,0.0,0.0
-0.21159768104553223,0.08088985830545425,9.809816360473633,0.0024377869216420794,-0.006607184590742948,0.0005628633876146128,0.030006885528564453,2019-06-20 14:49:02:927,0.0,0.0,0.0
-0.22117668390274048,0.05694235861301422,9.848133087158203,0.0017718342327061804,-0.004875707001338663,-0.0005026612202701574,0.03499889373779297,2019-06-20 14:49:02:932,0.0,0.0,0.0
-0.21159768104553223,0.06652135401964188,9.716421127319336,0.0016386436689115682,-0.005808041207975274,0.001095625642793062,0.04089498519897461,2019-06-20 14:49:02:938,0.0,0.0,0.0
-0.1876501888036728,0.04017911106348038,9.824185371398926,0.003103740000689466,-0.003410611059672253,0.0012288162065876742,0.045001983642578125,2019-06-20 14:49:02:942,0.0,0.0,0.0
-0.16609744727611542,0.07610035687685013,9.884054183959961,0.0015054529750797934,-0.0020787052916889674,-0.00010308950450435256,0.05000782012939453,2019-06-20 14:49:02:947,0.0,0.0,0.0
