ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS,MagX,MagY,MagZ
-0.09904444962739944,-0.2352171093225479,9.795448303222656,0.005234789021403263,0.005912728926099258,0.0021611501531499603,0.0,2019-06-20 16:19:32:849,0.0,0.0,0.0
-0.051149457693099976,-0.2304276078939438,9.781079292297363,0.0009726907199013442,0.002316583703644726,0.0014951973341768988,0.005887031555175781,2019-06-20 16:19:32:855,0.0,0.0,0.0
-0.0631232038140297,-0.21845385432243347,9.766711235046387,0.002970549436894854,0.0029825365226177876,0.0024275314107763475,0.010890960693359375,2019-06-20 16:19:32:860,0.0,0.0,0.0
-0.06791270524263382,-0.21845385432243347,9.788264274597168,0.0032369305644840782,0.0032489176502070124,-0.0036992350439244686,0.014994144439697266,2019-06-20 16:19:32:864,0.0,0.0,0.0
-0.05354420840740204,-0.2160591036081314,9.735579490661621,0.0021714059240900176,0.007377825387914319,0.002693912538365572,0.020009994506835938,2019-06-20 16:19:32:869,0.0,0.0,0.0
-0.06791270524263382,-0.21845385432243347,9.769105911254883,0.0016386436689115682,0.008176968770681992,0.0008292445152038374,0.025887012481689453,2019-06-20 16:19:32:875,0.0,0.0,0.0
-0.051149457693099976,-0.19450636208057404,9.781079292297363,0.003370121128278691,0.0035152987777962367,0.0013620067703822866,0.03088665008544922,2019-06-20 16:19:32:880,0.0,0.0,0.0
-0.051149457693099976,-0.1442166119813919,9.83376407623291,-0.0018243112498226766,0.003781679905385461,0.00016329164746684,0.03501701354980469,2019-06-20 16:19:32:884,0.0,0.0,0.0
-0.09186020493507385,-0.22084860503673553,9.74276351928711,0.0028373588731002413,0.005513157494789746,0.003493055921133246,0.04001188278198242,2019-06-20 16:19:32:889,0.0,0.0,0.0
-0.02720196172595024,-0.20887485146522522,9.759527206420898,0.0021714059240900176,0.004580823288153135,0.0037594370487224705,0.045879364013671875,2019-06-20 16:19:32:895,0.0,0.0,0.0
-0.024807212874293327,-0.2352171093225479,9.773895263671875,0.003103740000689466,0.007377825387914319,0.0013620067703822866,0.050002098083496094,2019-06-20 16:19:32:899,0.0,0.0,0.0
-0.058333706110715866,-0.18732210993766785,9.745158195495605,0.0035033116920733026,0.007111444260325094,0.0009624350789984497,0.05590343475341797,2019-06-20 16:19:32:905,0.0,0.0,0.0
-0.07270220667123795,-0.2160591036081314,9.776289939880371,4.035674489342885e-05,0.005646347798510033,-0.00010308950450435256,0.06088542938232422,2019-06-20 16:19:32:910,0.0,0.0,0.0
