YYYY-MO-DD HH-MI-SS_SSS,ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s)
1559244476.825136,-0.3988424837589264,-1.5451428890228271,-9.866366386413574,0.02797001995731453,-0.005727194503242653,-0.001731477459367122
1559244476.835136,-0.41078388690948486,-1.5188717842102053,-9.887861251831055,0.03223211799874212,-0.006925909837468489,-0.0011987152041886733
1559244476.8451478,-0.4251135587692261,-1.4854358434677122,-9.921297073364256,0.031965737391301555,-0.006259956758421103,-0.0023974304083773466
1559244476.8551517,-0.43466666340827936,-1.4973772764205933,-9.902190208435059,0.03289807055764086,-0.006792719013599553,-0.0046616699928857565
1559244476.8651462,-0.44183149933815,-1.5212600231170652,-9.856813430786131,0.030767021536927067,-0.006126766454700816,-0.005727194503242653
1559244476.875141,-0.4298900961875916,-1.5045421123504639,-9.868754386901855,0.03343083385311661,-0.004128907737707305,-0.001997858586956347
1559244476.8851564,-0.40600731968879694,-1.509318709373474,-9.878307342529295,0.03329764250909902,-0.0042620983015019195,-0.007325481268778002
1559244476.8951328,-0.41078388690948486,-1.4711061716079714,-9.811435699462889,0.03716016859906844,-0.007458672092646939,-0.009722911937229673
1559244476.905133,-0.4394432306289673,-1.45916485786438,-9.789941787719725,0.0324984986061827,-0.009190149682051223,-0.0037293360463234696
1559244476.9151523,-0.4561611711978912,-1.5379780530929563,-9.789941787719725,0.0314329740958258,-0.006659528709879265,-0.006526337886010328
1559244476.9251494,-0.4251135587692261,-1.5570842027664185,-9.80427074432373,0.03316445324567604,-0.0021310491507509598,-0.006259956758421103
1559244476.935142,-0.4561611711978912,-1.5164835453033445,-9.849648475646974,0.03569507213725339,-0.006659528709879265,-0.01025567419240812
1559244476.9451365,-0.41794872283935547,-1.5594725608825681,-9.885472297668455,0.03116659348838523,-0.004128907737707305,-0.011454389006485306
1559244476.955137,-0.4442197680473328,-1.554695963859558,-9.84248352050781,0.02916873581168902,-0.007192290965057714,-0.007059100141188775
1559244476.9651353,-0.44183149933815,-1.506930351257324,-9.91890811920166,0.03529550226638984,-0.007991434347825389,-0.008657386906724124
1559244476.975168,-0.4322783946990967,-1.5523077249526975,-9.904579162597656,0.03636102469615213,-0.005194432248064204,-0.012253532909401631
1559244476.9851682,-0.42750182747840887,-1.5427545309066772,-9.84248352050781,0.03915802627576466,-0.0033297643549396326,-0.009190149682051223
1559244476.9951446,-0.40361905097961437,-1.528424859046936,-9.83531856536865,0.02996787763401075,0.0,-0.008657386906724124
1559244477.005138,-0.4394432306289673,-1.494989037513733,-9.84248352050781,0.03596145482528857,-0.0023974304083773466,-0.006259956758421103
1559244477.01514,-0.41078388690948486,-1.5236483812332153,-9.847260475158691,0.030500640929486487,-0.005993575630831878,-0.007192290965057714
1559244477.0251348,-0.4322783946990967,-1.5188717842102053,-9.825765609741211,0.03303126190165844,-0.0037293360463234696,-0.009722911937229673
1559244477.0351539,-0.40361905097961437,-1.530813217163086,-9.873531341552734,0.030900212880944643,-0.0029301926635557957,-0.0014650963317778978
1559244477.0451474,-0.4131721556186676,-1.5164835453033445,-9.83531856536865,0.03676059872820489,-0.0011987152041886733,-0.006393147582290041
1559244477.0551412,-0.39167764782905573,-1.5523077249526975,-9.84248352050781,0.03263168995020028,-0.0038625266101180804,-0.0038625266101180804
1559244477.0651374,-0.41556045413017273,-1.528424859046936,-9.847260475158691,0.03542869361040742,-0.0038625266101180804,-0.0021310491507509598
1559244477.0751367,-0.4131721556186676,-1.5379780530929563,-9.825765609741211,0.028103211301332122,-0.003995717173912694,-0.003063383227350408
1559244477.0851395,-0.36063003540039057,-1.5976849794387813,-9.83054256439209,0.03209892873531914,-0.004395288865296531,-0.0025306209721719587
1559244477.095147,-0.3773479759693146,-1.5499193668365479,-9.79232978820801,0.033564023116539596,-0.006259956758421103,0.0003995717238931276
1559244477.1051466,-0.3797362744808197,-1.5355896949768066,-9.840095520019535,0.03209892873531914,-0.005594004199522367,-0.003995717173912694
1559244477.1151578,-0.41794872283935547,-1.5045421123504639,-9.887861251831055,0.030500640929486487,-0.005194432248064204,-0.008524196603003837
1559244477.1251411,-0.4537729024887085,-1.5332014560699463,-9.938014984130861,0.03329764250909902,-0.008124624651545675,-0.0033297643549396326
1559244477.1351392,-0.4251135587692261,-1.5021538734436033,-9.85203647613525,0.029834688370587763,-0.0010655245753754797,-0.0021310491507509598
1559244477.1451404,-0.41556045413017273,-1.5164835453033445,-9.873531341552734,0.02797001995731453,-0.003063383227350408,-0.0010655245753754797
1559244477.1551492,-0.42750182747840887,-1.473494529724121,-9.832930564880371,0.030767021536927067,-0.0021310491507509598,-0.003063383227350408
1559244477.1651485,-0.4251135587692261,-1.5164835453033445,-9.809047698974608,0.033564023116539596,-0.0029301926635557957,-0.006526337886010328
1559244477.175144,-0.4489963352680206,-1.5188717842102053,-9.83054256439209,0.03329764250909902,-0.00785824352395645,-0.005194432248064204
1559244477.1851547,-0.458549439907074,-1.5260366201400757,-9.823377609252928,0.03516231092237225,-0.004395288865296531,-0.003995717173912694
1559244477.1951392,-0.43705493211746216,-1.4854358434677122,-9.832930564880371,0.03303126190165844,-0.0033297643549396326,-0.0034629549187342444
1559244477.2051353,-0.41794872283935547,-1.5499193668365479,-9.844871520996094,0.03329764250909902,-0.004794860816754693,-0.0046616699928857565
1559244477.2151399,-0.41556045413017273,-1.5260366201400757,-9.871142387390137,0.028902353123653836,-0.0038625266101180804,-0.0007991434477862552
1559244477.2251537,-0.41556045413017273,-1.5236483812332153,-9.816212654113768,0.030633832273504073,-0.003995717173912694,0.0018646680231617348
1559244477.23515,-0.3988424837589264,-1.5332014560699463,-9.885472297668455,0.03010106897802833,-0.005460813375653428,-0.0038625266101180804
1559244477.2451427,-0.3869011104106903,-1.5164835453033445,-9.844871520996094,0.03103340422496225,-0.005460813375653428,-0.007991434347825389
1559244477.2551405,-0.4442197680473328,-1.5045421123504639,-9.866366386413574,0.027304067398415795,-0.005993575630831878,0.0010655245753754797
1559244477.2651362,-0.4012307822704315,-1.5117069482803345,-9.80427074432373,0.038358886534037545,-0.005194432248064204,-0.006659528709879265
1559244477.2751358,-0.3940659463405609,-1.5117069482803345,-9.854424476623535,0.034229977756032925,-0.0027970020997611835,-0.006126766454700816
1559244477.2851686,-0.38928937911987294,-1.540366291999817,-9.84248352050781,0.03729335994308605,-0.007192290965057714,-0.006126766454700816
1559244477.2951474,-0.4561611711978912,-1.4997655153274534,-9.837706565856932,0.03622783751332374,-0.0010655245753754797,-0.004395288865296531
1559244477.3051393,-0.4251135587692261,-1.530813217163086,-9.897414207458496,0.03782612115796719,-0.0007991434477862552,-0.006526337886010328
1559244477.3151386,-0.41556045413017273,-1.5236483812332153,-9.93562602996826,0.0314329740958258,-0.0013319057679832855,-0.0033297643549396326
1559244477.3251348,-0.4083956182003021,-1.4997655153274534,-9.832930564880371,0.03502911957835465,-0.006393147582290041,-0.007458672092646939
1559244477.3351471,-0.4394432306289673,-1.5236483812332153,-9.844871520996094,0.03516231092237225,-0.0014650963317778978,-0.006393147582290041
1559244477.3451538,-0.3940659463405609,-1.5451428890228271,-9.897414207458496,0.03116659348838523,-0.004528479689165468,-0.005327623071933142
1559244477.355149,-0.42033699154853826,-1.5499193668365479,-9.847260475158691,0.03169935678386097,-0.0018646680231617348,-0.0006659528839916427
1559244477.3651404,-0.4131721556186676,-1.5499193668365479,-9.902190208435059,0.03303126190165844,0.0003995717238931276,0.0011987152041886733
1559244477.3751385,-0.39167764782905573,-1.530813217163086,-9.93562602996826,0.0314329740958258,-0.005194432248064204,-0.006526337886010328
1559244477.385154,-0.3797362744808197,-1.5332014560699463,-9.902190208435059,0.03129978483240282,-0.0027970020997611835,-0.003596145482528857
1559244477.3951468,-0.41794872283935547,-1.5236483812332153,-9.875919342041016,0.03263168995020028,-0.0033297643549396326,-0.003995717173912694
1559244477.405152,-0.4298900961875916,-1.5236483812332153,-9.840095520019535,0.03529550226638984,-0.0018646680231617348,-0.0023974304083773466
1559244477.4151456,-0.41078388690948486,-1.5212600231170652,-9.883084297180176,0.031832546047283965,-0.007591862396367225,-0.0018646680231617348
1559244477.4251523,-0.41556045413017273,-1.4973772764205933,-9.823377609252928,0.03742655128710362,-0.0046616699928857565,-0.003596145482528857
1559244477.435143,-0.3964542150497437,-1.5117069482803345,-9.904579162597656,0.03343083385311661,-0.005860385327111591,-0.0022642398445827335
1559244477.4451373,-0.4251135587692261,-1.5355896949768066,-9.866366386413574,0.03396359506799776,-0.008124624651545675,-0.0011987152041886733
1559244477.455138,-0.43466666340827936,-1.530813217163086,-9.878307342529295,0.030900212880944643,-0.0038625266101180804,-0.002663811535966571
1559244477.4651518,-0.4251135587692261,-1.4997655153274534,-9.856813430786131,0.03023426032204592,-0.0013319057679832855,-0.0010655245753754797
1559244477.475149,-0.4394432306289673,-1.5188717842102053,-9.83531856536865,0.033564023116539596,-0.006259956758421103,-0.0034629549187342444
1559244477.4851596,-0.4442197680473328,-1.5260366201400757,-9.856813430786131,0.03169935678386097,-0.004395288865296531,-0.0023974304083773466
1559244477.495139,-0.36540660262107844,-1.530813217163086,-9.942790985107418,0.03023426032204592,0.001731477459367122,-0.0009323340115808674
1559244477.505193,-0.43705493211746216,-1.4926006793975832,-9.868754386901855,0.030500640929486487,-0.004528479689165468,-0.004794860816754693
1559244477.5152812,-0.3988424837589264,-1.4997655153274534,-9.849648475646974,0.03729335994308605,-0.0027970020997611835,-0.004528479689165468
1559244477.5251596,-0.36540660262107844,-1.5427545309066772,-9.854424476623535,0.03303126190165844,-0.004528479689165468,-0.002663811535966571
1559244477.5351436,-0.40600731968879694,-1.5045421123504639,-9.818600654602049,0.031566165439843384,-0.007192290965057714,-0.001997858586956347
1559244477.5451436,-0.4251135587692261,-1.5332014560699463,-9.91652011871338,0.037026977255050865,-0.005993575630831878,-0.006126766454700816
1559244477.5551393,-0.3964542150497437,-1.5212600231170652,-9.878307342529295,0.03529550226638984,0.0003995717238931276,-0.0025306209721719587
1559244477.5651424,-0.41078388690948486,-1.5379780530929563,-9.79710578918457,0.0324984986061827,-0.003596145482528857,0.00013319057192193499
1559244477.575152,-0.3869011104106903,-1.5499193668365479,-9.878307342529295,0.02956830776314717,-0.006259956758421103,-0.005860385327111591
1559244477.5851436,-0.37495970726013184,-1.5570842027664185,-9.82815361022949,0.029701497026570163,-0.005194432248064204,-0.0031965737911450205
1559244477.5951416,-0.3988424837589264,-1.5045421123504639,-9.878307342529295,0.028502783252790275,-0.008391005779134899,-0.005194432248064204
1559244477.6051395,-0.38212454319000244,-1.5355896949768066,-9.902190208435059,0.028103211301332122,-0.003063383227350408,-0.007991434347825389
1559244477.6151383,-0.41794872283935547,-1.4902124404907227,-9.832930564880371,0.02757044800585637,-0.0011987152041886733,-0.005594004199522367
1559244477.6251485,-0.3964542150497437,-1.4687179327011108,-9.854424476623535,0.03129978483240282,-0.004128907737707305,-0.0027970020997611835
1559244477.6351478,-0.3988424837589264,-1.4878242015838623,-9.887861251831055,0.03129978483240282,-0.003995717173912694,-0.0046616699928857565
1559244477.6451423,-0.43466666340827936,-1.4711061716079714,-9.866366386413574,0.027037686790975214,-0.001997858586956347,-0.0046616699928857565
1559244477.655144,-0.42750182747840887,-1.4926006793975832,-9.84248352050781,0.03609464616930616,-0.006792719013599553,-0.0015982868955725102
1559244477.66514,-0.41794872283935547,-1.540366291999817,-9.868754386901855,0.03529550226638984,-0.0031965737911450205,-0.001731477459367122
1559244477.6751382,-0.42272526025772095,-1.5117069482803345,-9.91652011871338,0.0314329740958258,-0.0050612419443439175,-0.006526337886010328
1559244477.685144,-0.40361905097961437,-1.4926006793975832,-9.871142387390137,0.031566165439843384,-0.005460813375653428,-0.005727194503242653
1559244477.695152,-0.4083956182003021,-1.5045421123504639,-9.895025253295898,0.03369721446055718,-0.009056959378330938,-0.006526337886010328
1559244477.7051437,-0.4322783946990967,-1.530813217163086,-9.890249252319336,0.0346295476268965,-0.0015982868955725102,-0.005594004199522367
1559244477.7151532,-0.3940659463405609,-1.5570842027664185,-9.892637252807615,0.032764881294217875,-0.0015982868955725102,-0.008391005779134899
1559244477.7251391,-0.3869011104106903,-1.4782710075378416,-9.818600654602049,0.034229977756032925,-0.004794860816754693,-0.007325481268778002
1559244477.7351367,-0.41794872283935547,-1.4997655153274534,-9.91890811920166,0.03369721446055718,-0.006393147582290041,-0.003596145482528857
1559244477.7451332,-0.4251135587692261,-1.5332014560699463,-9.856813430786131,0.03209892873531914,-0.0033297643549396326,-0.004395288865296531
1559244477.755142,-0.41794872283935547,-1.5188717842102053,-9.883084297180176,0.03556188079323581,-0.0018646680231617348,-0.0015982868955725102
1559244477.7651343,-0.4012307822704315,-1.494989037513733,-9.854424476623535,0.0303674495854689,-0.0037293360463234696,0.0003995717238931276
1559244477.7751296,-0.42033699154853826,-1.5570842027664185,-9.861589431762695,0.031965737391301555,-0.0046616699928857565,-0.006659528709879265
1559244477.785134,-0.4131721556186676,-1.5045421123504639,-9.816212654113768,0.03223211799874212,-0.007591862396367225,-0.003596145482528857
1559244477.7951546,-0.40361905097961437,-1.528424859046936,-9.825765609741211,0.031832546047283965,0.0007991434477862552,-0.005594004199522367
1559244477.8051353,-0.40361905097961437,-1.5260366201400757,-9.902190208435059,0.03223211799874212,-0.007192290965057714,-0.0046616699928857565
1559244477.8151526,-0.37257143855094904,-1.5594725608825681,-9.837706565856932,0.02863597251621327,-0.003063383227350408,-0.0018646680231617348
1559244477.825149,-0.4012307822704315,-1.4926006793975832,-9.85203647613525,0.02876916386023085,-0.0029301926635557957,-0.0038625266101180804
1559244477.8351378,-0.4131721556186676,-1.5140951871871948,-9.873531341552734,0.03449635836347351,-0.0006659528839916427,0.0002663811438438699
1559244477.8451355,-0.38928937911987294,-1.509318709373474,-9.837706565856932,0.036494216040169725,-0.006526337886010328,-0.008124624651545675
1559244477.855133,-0.3988424837589264,-1.5260366201400757,-9.801882743835447,0.0366274073841873,-0.0023974304083773466,-0.0005327622876877398
1559244477.865136,-0.4466080665588378,-1.5451428890228271,-9.871142387390137,0.03129978483240282,-0.005860385327111591,-0.0013319057679832855
1559244477.875156,-0.40361905097961437,-1.5164835453033445,-9.904579162597656,0.03502911957835465,-0.004928051120474981,-0.004528479689165468
1559244477.8851488,-0.41078388690948486,-1.5164835453033445,-9.832930564880371,0.03622783751332374,-0.007059100141188775,-0.0050612419443439175
1559244477.8951554,-0.42272526025772095,-1.5594725608825681,-9.82815361022949,0.03542869361040742,-0.0046616699928857565,-0.0050612419443439175
