ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),YYYY-MO-DD HH-MI-SS_SSS
-0.5134798288345337,-1.5355896949768066,-9.904579162597656,0.03609464616930616,-0.006792719013599553,-0.008524196603003837,1559601863.513
-0.5015384554862976,-1.566637396812439,-9.80427074432373,0.03529550226638983,-0.002930192663555796,-0.008790577730593063,1559601863.523
-0.5134798288345337,-1.554695963859558,-9.80427074432373,0.03422997775603293,-0.005061241944343918,-0.004528479689165468,1559601863.533
-0.5039267539978027,-1.5427545309066772,-9.852036476135254,0.03449635836347351,-0.00492805112047498,-0.006126766454700816,1559601863.543
-0.5015384554862976,-1.5332014560699463,-9.861589431762695,0.03010106897802833,-0.005993575630831878,-0.011054817055027146,1559601863.553
-0.4967619180679321,-1.5427545309066772,-9.820988655090332,0.03316445324567604,-0.002663811535966571,-0.009989292544670248,1559601863.563
-0.4776556789875031,-1.5260366201400757,-9.849648475646973,0.036627407384187315,-0.0037293360463234696,-0.007591862396367225,1559601863.573
-0.4704908430576325,-1.540366291999817,-9.883084297180176,0.031832546047283965,-0.006526337886010328,-0.005460813375653429,1559601863.583
-0.4824322462081909,-1.5427545309066772,-9.863978385925293,0.03263168995020028,-0.005727194503242653,-0.005194432248064204,1559601863.593
-0.5110915899276733,-1.4663296937942505,-9.885472297668457,0.03569507213725339,-0.00639314758229004,-0.0037293360463234696,1559601863.603
-0.5325860977172852,-1.5164835453033447,-9.854424476623537,0.030500640929486494,-0.0046616699928857565,-0.004395288865296531,1559601863.613
-0.4872087836265564,-1.5212600231170654,-9.856813430786133,0.03516231092237225,-0.00785824352395645,-0.010655246143866284,1559601863.623
-0.4991501867771149,-1.4687179327011108,-9.806659698486328,0.03729335994308605,-0.0023974304083773466,-0.0023974304083773466,1559601863.633
-0.4872087836265564,-1.5117069482803345,-9.820988655090332,0.032898070557640866,-0.008923768034313348,-0.008257815475414612,1559601863.643
-0.4776556789875031,-1.530813217163086,-9.840095520019533,0.032898070557640866,-0.005993575630831878,-0.0017314774593671222,1559601863.653
-0.4895970821380615,-1.5260366201400757,-9.873531341552734,0.032764881294217875,-0.005727194503242653,-0.002264239844582734,1559601863.663
-0.4919853508472442,-1.4973772764205933,-9.91890811920166,0.03609464616930616,-0.0034629549187342444,0.004128907737707306,1559601863.673
-0.4776556789875031,-1.549919366836548,-9.842483520507812,0.031699356783860974,-0.00785824352395645,-0.00492805112047498,1559601863.683
-0.4895970821380615,-1.540366291999817,-9.878307342529297,0.038358886534037545,-0.004395288865296531,-0.005460813375653429,1559601863.693
-0.4991501867771149,-1.5069303512573242,-9.897414207458496,0.03396359506799776,-0.009190149682051223,-0.004395288865296531,1559601863.703
-0.5110915899276733,-1.518871784210205,-9.81621265411377,0.03582826348127098,-0.0021310491507509593,-0.00319657379114502,1559601863.713
-0.4895970821380615,-1.5140951871871948,-9.863978385925293,0.03676059872820489,-0.004395288865296531,-0.006526337886010328,1559601863.723
-0.5087032914161682,-1.5570842027664185,-9.892637252807617,0.03995717017868099,-0.0038625266101180813,-0.003596145482528857,1559601863.733
-0.494373619556427,-1.5475311279296875,-9.878307342529297,0.03343083385311661,-0.007991434347825389,-0.008391005779134899,1559601863.743
-0.5230329632759094,-1.5140951871871948,-9.856813430786133,0.03702697725505087,-0.006126766454700816,-0.007458672092646939,1559601863.753
-0.4991501867771149,-1.518871784210205,-9.899802207946776,0.0335640231165396,-0.0039957171739126935,-0.006659528709879265,1559601863.763
-0.5134798288345337,-1.5427545309066772,-9.835318565368652,0.02916873581168902,-0.007325481268778002,-0.007991434347825389,1559601863.773
-0.5516923069953918,-1.5523077249526978,-9.840095520019533,0.03742655128710363,-0.006792719013599553,-0.005993575630831878,1559601863.783
-0.5278095006942749,-1.5332014560699463,-9.854424476623537,0.040623122737579724,-0.004262098301501919,-0.005194432248064204,1559601863.793
-0.5087032914161682,-1.518871784210205,-9.83054256439209,0.03422997775603293,-0.00492805112047498,-0.004395288865296531,1559601863.803
-0.5158681273460388,-1.509318709373474,-9.80904769897461,0.0376929298139496,-0.0014650963317778976,-0.009056959378330936,1559601863.813
-0.5039267539978027,-1.5021538734436035,-9.892637252807617,0.039291217619782264,-0.006526337886010328,-0.008657386906724124,1559601863.823
-0.4991501867771149,-1.4949890375137331,-9.794717788696287,0.03396359506799776,-0.002930192663555796,-0.006526337886010328,1559601863.833
-0.4633260071277618,-1.5260366201400757,-9.854424476623537,0.036227837513323737,-0.0037293360463234696,-0.012386723213121918,1559601863.843
-0.4752674102783203,-1.4758827686309814,-9.883084297180176,0.038492073716865916,-0.002930192663555796,-0.012253532909401631,1559601863.853
-0.5039267539978027,-1.4854358434677124,-9.875919342041016,0.03702697725505087,-0.004528479689165468,-0.010522054799848695,1559601863.863
-0.5015384554862976,-1.5523077249526978,-9.849648475646973,0.03755974263112122,-0.007192290965057714,-0.00985610224094996,1559601863.873
-0.4919853508472442,-1.530813217163086,-9.799494743347168,0.039557600307817416,-0.007325481268778002,-0.005194432248064204,1559601863.883
-0.5087032914161682,-1.549919366836548,-9.81860065460205,0.03915802627576466,-0.004262098301501919,-0.005061241944343918,1559601863.893
-0.5015384554862976,-1.5714138746261597,-9.837706565856934,0.0387584564049011,-0.002930192663555796,-0.006526337886010328,1559601863.903
-0.4752674102783203,-1.566637396812439,-9.844871520996094,0.03755974263112122,-0.0039957171739126935,-0.00492805112047498,1559601863.913
-0.4895970821380615,-1.5785787105560305,-9.885472297668457,0.03795931250198478,-0.0021310491507509593,-0.003063383227350408,1559601863.923
-0.4657142758369446,-1.5714138746261597,-9.859201431274414,0.03915802627576466,-0.0027970020997611835,-0.0002663811438438699,1559601863.933
-0.4537729024887085,-1.569025635719299,-9.921297073364258,0.03809250384600237,-0.006792719013599553,-0.0011987152041886733,1559601863.943
