ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),YYYY-MO-DD HH-MI-SS_SSS
0.08358974009752274,-1.1869010925292969,-9.90219020843506,0.03809250384600237,-0.005993575630831878,-0.009722911937229671,1559604060.434
0.059706959873437875,-1.1582417488098145,-9.9117431640625,0.03422997775603293,-0.006792719013599553,-0.008391005779134899,1559604060.444
0.05493040382862091,-1.129582405090332,-9.847260475158693,0.038891647748918685,0.0013319057679832855,-0.005727194503242653,1559604060.454
0.06926007568836212,-1.177348017692566,-9.914132118225098,0.04035674421073375,-0.008657386906724124,-0.009456530289491798,1559604060.464
0.09075457602739334,-1.1845128536224363,-9.828153610229492,0.04022355286671616,-0.0010655245753754797,-0.00319657379114502,1559604060.474
0.04537728801369667,-1.1176409721374512,-9.906967163085938,0.03582826348127098,-0.004528479689165468,-0.003063383227350408,1559604060.484
0.0955311357975006,-1.1940659284591677,-9.847260475158693,0.04168864932853122,-0.0058603853271115905,-0.007192290965057714,1559604060.494
0.0955311357975006,-1.2179486751556396,-9.978615760803224,0.0408895054256149,-0.0011987152041886733,-0.0017314774593671222,1559604060.504
0.11702564358711245,-1.1606299877166748,-9.847260475158693,0.038492073716865916,-0.003596145482528857,-0.0010655245753754797,1559604060.514
0.06687179207801819,-1.1845128536224363,-9.866366386413574,0.039291217619782264,-0.00492805112047498,-0.002264239844582734,1559604060.524
0.09791941195726396,-1.1869010925292969,-9.942790985107422,0.03329764250909902,-0.004794860816754693,-0.004128907737707306,1559604060.534
0.12419047951698305,-1.1821244955062866,-9.825765609741213,0.03343083385311661,-0.004794860816754693,-0.002663811535966571,1559604060.544
0.04298901185393333,-1.1725714206695557,-9.957120895385742,0.03742655128710363,-0.0027970020997611835,0.0010655245753754797,1559604060.554
