ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
-1.1917508840560913,-0.44653481245040894,-9.777999877929688,0.11800684836455354,-0.002264239844582734,-0.029701497026570163,0.0,2019-06-03 15:37:36:999
-1.2825055122375488,-1.246608018875122,-9.130776405334473,0.1321250476066338,-0.04754903517579147,-0.019845395825917506,0.010020732879638672,2019-06-03 15:37:37:009
-0.1958388239145279,-1.6669450998306274,-10.948256492614746,0.03010106897802833,0.005727194503242653,-0.03689379007222248,0.02000904083251953,2019-06-03 15:37:37:019
-0.6806593537330627,-1.566637396812439,-9.79710578918457,-0.016782011558269798,0.0230419693569882,-0.013985009978657266,0.029998779296875,2019-06-03 15:37:37:029
-0.7045421004295349,-1.012556791305542,-9.737399101257324,0.019978585089340493,-0.0006659528839916427,-0.021310492287732567,0.03999137878417969,2019-06-03 15:37:37:039
-0.3582417666912079,-1.2633260488510132,-9.405428886413574,0.1165417519027385,-0.038092503846002365,-0.04022355286671616,0.049991607666015625,2019-06-03 15:37:37:049
-0.3773479759693146,-1.5499193668365479,-10.375069618225098,0.055940039914629064,0.000799143447786255,0.012519913516842205,0.05998992919921875,2019-06-03 15:37:37:059
-0.9099340438842773,-1.8245713710784912,-10.160124778747559,-0.012919485468300369,0.0027970020997611835,-0.03596145482528857,0.0700230598449707,2019-06-03 15:37:37:069
-0.3439120948314667,-0.6734212636947632,-9.367216110229492,-0.025306207641124987,0.0346295476268965,-0.00785824352395645,0.08001041412353516,2019-06-03 15:37:37:079
-1.0795018672943115,-0.9743443131446838,-9.541560173034668,0.09376616523378546,-0.022242825454071878,-0.028769163860230856,0.08999919891357422,2019-06-03 15:37:37:089
-0.4251135587692261,-1.5069303512573242,-10.590014457702637,0.09190149473991763,-0.0387584564049011,-0.017980727412644285,0.09999275207519531,2019-06-03 15:37:37:099
-0.24838095903396606,-1.4090110063552856,-9.978615760803223,0.008124624651545674,0.03942440896379984,-0.044485650908143756,0.10999202728271484,2019-06-03 15:37:37:109
-0.7929084300994873,-0.7426813244819641,-9.484241485595703,-0.025838970936600737,0.06033532930007424,-0.014917344185293878,0.11998891830444336,2019-06-03 15:37:37:119
-1.4210256338119507,-1.2298901081085205,-9.180930137634277,0.1257318963833032,-0.08217858488328257,-0.04368650700522743,0.13000774383544922,2019-06-03 15:37:37:129
-0.019106227904558182,-1.5809670686721802,-10.99124526977539,0.09376616523378546,-0.01811391875666187,-0.01611605899937106,0.1400127410888672,2019-06-03 15:37:37:139
-0.7164835333824158,-2.328498125076294,-10.592402458190918,-0.003995717173912694,0.01824710802008486,-0.03223211799874212,0.1500082015991211,2019-06-03 15:37:37:149
-0.7594725489616394,-1.213172197341919,-9.498571395874023,-0.08351049000108003,0.027970019957314532,-0.03782612115796719,0.15999984741210938,2019-06-03 15:37:37:159
-0.8669450283050537,-0.6423736214637756,-9.35049819946289,0.07178971830655956,0.0034629549187342444,-0.03489593031493167,0.17000865936279297,2019-06-03 15:37:37:169
-0.9839707016944885,-1.2872087955474854,-9.856813430786133,0.14904024842832658,-0.058870232838259186,-0.02610535154404131,0.17999267578125,2019-06-03 15:37:37:179
-0.42272526025772095,-1.7385934591293335,-10.444329261779785,0.0460839387139764,-0.013585438027199106,-0.044352459564126166,0.19000816345214844,2019-06-03 15:37:37:189
-0.5039267539978027,-1.4806593656539917,-9.82337760925293,-0.01957901313788233,0.01478415388157359,-0.017847536068626695,0.2000131607055664,2019-06-03 15:37:37:199
-0.39645421504974365,-0.5420659184455872,-9.988168716430664,0.002264239844582734,0.02663811483951706,-0.03343083385311661,0.2100081443786621,2019-06-03 15:37:37:209
-0.5134798288345337,-1.2083956003189087,-9.496183395385742,0.07725053012176704,0.007458672092646939,-0.026238542888058897,0.21999454498291016,2019-06-03 15:37:37:219
-0.5278095006942749,-1.1701831817626953,-10.286703109741211,0.05221070308808262,-0.031033404224962244,-0.0010655245753754797,0.22999095916748047,2019-06-03 15:37:37:229
-0.7594725489616394,-1.3612453937530518,-9.553502082824707,0.041821840672548814,0.003063383227350408,-0.048747748949571346,0.2399892807006836,2019-06-03 15:37:37:239
-0.6233406662940979,-1.0985348224639893,-10.138629913330078,0.047948605046655025,-0.014251391626395141,-0.008124624651545674,0.2499995231628418,2019-06-03 15:37:37:249
-0.6448351740837097,-1.4878242015838623,-10.234161376953125,0.07778329549783738,-0.013851819674936977,-0.02810321130133212,0.260009765625,2019-06-03 15:37:37:259
-0.9362051486968994,-1.7218754291534424,-9.543949127197266,-0.011454389006485306,-0.01278629516458008,-0.03236530934275971,0.27001380920410156,2019-06-03 15:37:37:269
-0.33674725890159607,-0.9910622835159302,-10.327303886413574,-0.013185867116038244,0.010788436447586572,-0.01371862937121669,0.28000831604003906,2019-06-03 15:37:37:279
-0.6113992929458618,-0.9934505224227905,-9.658586502075195,0.05394218223793285,-0.004528479689165468,-0.03236530934275971,0.2899913787841797,2019-06-03 15:37:37:289
-0.730813205242157,-1.0603224039077759,-9.534395217895508,0.10748479044381294,-0.01931263253044176,-0.021044109599697394,0.2999882698059082,2019-06-03 15:37:37:299
-1.1845860481262207,-1.6908278465270996,-10.315362930297852,0.05021284541138642,-0.03156616543984339,-0.03889164774891869,0.31001758575439453,2019-06-03 15:37:37:309
-0.4394432306289673,-1.6502270698547363,-10.226996421813965,-0.013851819674936977,0.00492805112047498,-0.03223211799874212,0.3200106620788574,2019-06-03 15:37:37:319
-0.9147106409072876,-1.0149450302124023,-9.426922798156738,-0.004395288865296531,0.031699356783860974,-0.04994646272335123,0.33001136779785156,2019-06-03 15:37:37:329
-0.94336998462677,-0.8047765493392944,-9.574995994567871,0.09483168766354774,-0.029435116419129593,-0.054474943452814006,0.3399982452392578,2019-06-03 15:37:37:339
-0.45616117119789124,-1.4042344093322754,-9.902190208435059,0.11560941249461537,-0.03556188079323581,-0.04781541370263744,0.3499932289123535,2019-06-03 15:37:37:349
-0.42272526025772095,-1.674109935760498,-10.186395645141602,0.024773446426243836,0.0062599567584211025,-0.07605181634798715,0.35999107360839844,2019-06-03 15:37:37:359
