ACCELEROMETER X (m/s²),ACCELEROMETER Y (m/s²),ACCELEROMETER Z (m/s²),GYROSCOPE X (rad/s),GYROSCOPE Y (rad/s),GYROSCOPE Z (rad/s),Pitch (Deg),Roll (Deg),Heading (Deg),Time since start in ms ,YYYY-MO-DD HH-MI-SS_SSS
0.2545642852783203,-0.15614007413387299,9.947347640991211,0.005671787228704095,0.0014424538709142324,0.036328792124583766,-3.5706810762164825,-3.5820144364939743,0,0.0,2019-07-25 12:05:47:112
0.16835330426692963,-0.04837634041905403,9.88508415222168,0.005139024973525646,0.0019752161260926816,0.040857272854046535,-7.0800995469157755,-7.105667331034198,0,0.0031228065490722656,2019-07-25 12:05:47:116
0.2234325408935547,-0.09387658536434174,10.05750560760498,0.005139024973525646,-0.006548980476911156,0.04139003406892768,-10.511944802765038,-10.553721396921162,0,0.006113767623901367,2019-07-25 12:05:47:119
0.2162482887506485,-0.07950808107852936,9.863531112670898,0.0070036928666502175,-0.001221357535015176,0.04831594650713942,-13.876321595848118,-13.934931220122476,0,0.009981632232666016,2019-07-25 12:05:47:122
0.20666930079460144,-0.0962713360786438,9.837188720703125,0.008069217377007117,-0.005483455966554257,0.04565213211035527,-17.173762836628512,-17.246433169250633,0,0.013103961944580078,2019-07-25 12:05:47:126
0.16835330426692963,-0.10345558077096939,9.830004692077637,0.010200266917869563,-0.004151550068533809,0.04725041991618792,-20.409978402467566,-20.491129312172205,0,0.016045093536376953,2019-07-25 12:05:47:129
0.1563795506954193,-0.11782407760620117,9.82761001586914,0.00886836075977479,-0.006016218221732706,0.049914234312972074,-23.582232165825825,-23.669505974093653,0,0.019935131072998047,2019-07-25 12:05:47:132
0.21145878732204437,-0.14416632056236267,9.801267623901367,0.008601979632185565,-0.0038851689409445844,0.051778900645650695,-26.68515395591901,-26.780844219903123,0,0.023211240768432617,2019-07-25 12:05:47:136
0.23061679303646088,-0.14416632056236267,9.794083595275879,0.010200266917869563,-0.0044179314561973585,0.05577461599904311,-29.72366892358853,-29.830218642258433,0,0.026454687118530273,2019-07-25 12:05:47:139
0.16116905212402344,-0.19685082137584686,9.798872947692871,0.009134742407512665,-0.001221357535015176,0.048049563819104246,-32.710110345307314,-32.81238599817033,0,0.029942750930786133,2019-07-25 12:05:47:142
0.1827217936515808,-0.14656107127666473,9.858741760253906,0.004606262718347197,-0.0009549764074259514,0.05257804454856702,-35.6345045170386,-35.739912967879036,0,0.033069610595703125,2019-07-25 12:05:47:146
0.2162482887506485,-0.18966656923294067,9.688714027404785,0.004872643845936421,0.0019752161260926816,0.057106521116840586,-38.49657070350495,-38.603495261880084,0,0.03603076934814453,2019-07-25 12:05:47:148
0.2234325408935547,-0.15853482484817505,9.786898612976074,0.004606262718347197,0.0035735031517023547,0.05044699552785322,-41.30126449878275,-41.41387220322243,0,0.03992629051208496,2019-07-25 12:05:47:152
0.19948504865169525,-0.16332432627677917,9.911425590515137,0.005139024973525646,0.00037692932804804345,0.05364356697832931,-44.05224806749391,-44.16765889601903,0,0.04320216178894043,2019-07-25 12:05:47:156
0.2282220423221588,-0.11782407760620117,9.796478271484375,0.004606262718347197,-0.0038851689409445844,0.05417633235439967,-46.743804892871616,-46.87136294461322,0,0.04644489288330078,2019-07-25 12:05:47:159
0.235406294465065,-0.1489558219909668,9.894662857055664,0.00886836075977479,-0.001754119790193625,0.05444271088124564,-49.38132624732133,-49.51843010517784,0,0.04994702339172363,2019-07-25 12:05:47:162
0.1563795506954193,-0.14656107127666473,9.90903091430664,0.006737311739060993,-0.006016218221732706,0.052844423075413,-51.9745621821777,-52.11229506974626,0,0.053069353103637695,2019-07-25 12:05:47:166
0.23780104517936707,-0.17050857841968536,9.832399368286133,0.006470930611471769,-0.006016218221732706,0.05444271088124564,-54.506368952426186,-54.65124720514877,0,0.05600857734680176,2019-07-25 12:05:47:168
0.13243205845355988,-0.13698208332061768,9.80605697631836,0.007270073994239442,-0.006548980476911156,0.051778900645650695,-56.99937489121803,-57.143761001611125,0,0.059793710708618164,2019-07-25 12:05:47:172
0.2090640366077423,-0.16332432627677917,9.813241004943848,0.007536455121828667,-0.0009549764074259514,0.05364356697832931,-59.43479501638836,-59.58326124755542,0,0.06320953369140625,2019-07-25 12:05:47:176
0.1372215449810028,-0.21600881218910217,9.815635681152344,0.007536455121828667,-0.0004222141197382116,0.05044699552785322,-61.8300035501679,-61.967753803552974,0,0.06645035743713379,2019-07-25 12:05:47:179
0.16835330426692963,-0.17290332913398743,9.74858283996582,0.005405406101114871,-0.001221357535015176,0.046984041389341945,-64.17337678167101,-64.30913549887637,0,0.06993913650512695,2019-07-25 12:05:47:182
0.1252478063106537,-0.1872718185186386,9.844372749328613,0.00886836075977479,-0.00015583297589434172,0.045918514798390445,-66.47530343440827,-66.6027136759515,0,0.07306647300720215,2019-07-25 12:05:47:186
0.13482680916786194,-0.15853482484817505,9.92579460144043,0.003007975952811849,0.0017088349985034568,0.0464512760132716,-68.73051656381973,-68.85285787872172,0,0.07602381706237793,2019-07-25 12:05:47:188
